Time[ms],Realtime Tick,Goal Position,Present Position
0,5979,1967,1967
101,6080,1967,1967
200,6179,1967,1967
245,6224,1967,1967
285,6264,1967,1967
325,6304,1967,1967
348,6327,1967,1967
386,6365,1967,1967
426,6405,1967,1967
448,6427,1967,1967
486,6465,1967,1967
526,6505,1967,1967
549,6528,1967,1967
586,6565,1967,1967
625,6604,1967,1967
648,6627,1967,1967
685,6664,1967,1967
708,6687,1967,1967
746,6725,1967,1967
786,6765,1967,1967
808,6787,1967,1967
845,6824,1967,1967
868,6847,1967,1967
905,6884,1967,1967
928,6907,1967,1967
965,6944,1967,1967
988,6967,1967,1967
1025,7004,1967,1967
1048,7027,1967,1967
1085,7064,1967,1967
1108,7087,1967,1967
1145,7124,1967,1967
1168,7147,1967,1967
1205,7184,1967,1967
1228,7207,1967,1967
1265,7244,1967,1967
1305,7284,1967,1967
1328,7307,1967,1967
1365,7344,1967,1967
1388,7367,1967,1967
1425,7404,1967,1967
1448,7427,1967,1967
1485,7464,1967,1967
1508,7487,1967,1967
1545,7524,1967,1967
1568,7547,1967,1967
1606,7585,1967,1967
1629,7608,1967,1967
1665,7644,1967,1967
1705,7684,1967,1967
1728,7707,1967,1967
1765,7744,1967,1967
1788,7767,1967,1967
1826,7805,1967,1967
1865,7844,1967,1967
1906,7885,1967,1967
1945,7924,1967,1967
1986,7965,1967,1967
2026,8005,1967,1967
2066,8045,1967,1967
2106,8085,1967,1967
2146,8125,1967,1967
2186,8165,1967,1967
2226,8205,1967,1967
2266,8245,1967,1967
2305,8284,1967,1967
2328,8307,1967,1967
2365,8344,1967,1967
2405,8384,1967,1968
2445,8424,1967,1967
2468,8447,1967,1967
2506,8485,1967,1967
2545,8524,1967,1967
2586,8565,1967,1967
2626,8605,1967,1967
2666,8645,1967,1967
2705,8684,1967,1967
2728,8707,1967,1967
2765,8744,1967,1967
2788,8767,1967,1967
2825,8804,1967,1967
2848,8827,1967,1967
2886,8865,1967,1967
2926,8905,1967,1967
2965,8944,1967,1967
3005,8984,1967,1967
3028,9007,1967,1967
3066,9045,1967,1967
3106,9085,1967,1967
3145,9124,1967,1967
3168,9147,1967,1967
3206,9185,1967,1967
3245,9224,1967,1967
3268,9247,1967,1967
3307,9286,1950,1967
3345,9324,1950,1964
3368,9347,1950,1961
3406,9385,1950,1958
3445,9424,1950,1956
3468,9447,1950,1952
3505,9484,1950,1949
3528,9507,1950,1948
3566,9545,1950,1947
3606,9585,1950,1947
3646,9625,1950,1948
3685,9664,1950,1951
3707,9686,1950,1952
3745,9724,1950,1952
3768,9747,1950,1952
3806,9785,1950,1952
3829,9808,1950,1951
3865,9844,1950,1950
3906,9885,1950,1948
3946,9925,1950,1948
3985,9964,1950,1947
4007,9986,1950,1948
4045,10024,1950,1948
4085,10064,1950,1950
4125,10104,1950,1951
4165,10144,1950,1952
4187,10166,1950,1952
4226,10205,1950,1951
4265,10244,1950,1951
4287,10266,1950,1951
4325,10304,1950,1950
4366,10345,1950,1949
4404,10383,1950,1948
4445,10424,1981,1950
4485,10464,1981,1958
4507,10486,1981,1963
4546,10525,1996,1969
4585,10564,1996,1980
4625,10604,1996,1991
4665,10644,1996,1997
4705,10684,1996,1999
4745,10724,2011,2002
4785,10764,2011,2005
4825,10804,2011,2006
4865,10844,2011,2007
4906,10885,2011,2008
4928,10907,2011,2009
4987,10966,2040,2020
5028,11007,2040,2028
