Time[ms],Realtime Tick,Goal Position,Present Position
0,6404,1874,1874
100,6504,1874,1874
200,6604,1874,1874
264,6668,1874,1874
304,6708,1874,1875
344,6748,1874,1874
384,6788,1874,1874
424,6828,1874,1874
464,6868,1874,1874
504,6908,1874,1874
545,6949,1874,1874
584,6988,1874,1874
623,7027,1874,1874
664,7068,1874,1874
704,7108,1874,1874
744,7148,1874,1874
784,7188,1874,1874
824,7228,1874,1874
864,7268,1874,1874
904,7308,1874,1874
944,7348,1874,1874
984,7388,1874,1874
1024,7428,1874,1874
1064,7468,1874,1874
1104,7508,1874,1874
1144,7548,1874,1874
1185,7589,1874,1874
1224,7628,1874,1874
1264,7668,1874,1874
1304,7708,1874,1874
1344,7748,1874,1874
1384,7788,1874,1874
1424,7828,1874,1874
1463,7867,1874,1874
1504,7908,1874,1874
1544,7948,1874,1874
1584,7988,1874,1874
1624,8028,1874,1874
1663,8067,1874,1874
1704,8108,1874,1874
1744,8148,1874,1874
1784,8188,1874,1874
1824,8228,1874,1874
1863,8267,1874,1874
1904,8308,1874,1874
1943,8347,1874,1874
1984,8388,1874,1874
2024,8428,1874,1874
2063,8467,1874,1874
2104,8508,1874,1874
2143,8547,1874,1874
2184,8588,1874,1874
2224,8628,1874,1874
2264,8668,1874,1874
2304,8708,1874,1874
2343,8747,1874,1874
2383,8787,1874,1874
2423,8827,1874,1874
2464,8868,1874,1874
2503,8907,1874,1874
2544,8948,1874,1874
2584,8988,1874,1874
2624,9028,1874,1874
2664,9068,1874,1874
2704,9108,1874,1874
2744,9148,1874,1875
2784,9188,1874,1874
2824,9228,1874,1874
2863,9267,1874,1874
2903,9307,1874,1874
2943,9347,1874,1874
2983,9387,1874,1875
3023,9427,1874,1874
3063,9467,1874,1874
3103,9507,1874,1874
3143,9547,1874,1874
3183,9587,1874,1874
3223,9627,1874,1874
3263,9667,1874,1874
3303,9707,1874,1874
3344,9748,1874,1875
3383,9787,1874,1875
3423,9827,1874,1874
3463,9867,1874,1874
3503,9907,1874,1874
3543,9947,1874,1874
3583,9987,1874,1874
3623,10027,1874,1874
3663,10067,1874,1874
3703,10107,1874,1874
3743,10147,1874,1874
3783,10187,1881,1874
3824,10228,1881,1876
3863,10267,1881,1876
3904,10308,1881,1877
3944,10348,1881,1877
3983,10387,1881,1877
4024,10428,1881,1878
4064,10468,1881,1878
4104,10508,1881,1878
4144,10548,1881,1878
4184,10588,1881,1878
4223,10627,1881,1878
4263,10667,1881,1878
4303,10707,1881,1879
4343,10747,1881,1879
4383,10787,1881,1879
4423,10827,1881,1879
4463,10867,1881,1879
4503,10907,1881,1879
4543,10947,1881,1879
4583,10987,1881,1879
4623,11027,1881,1879
4663,11067,1881,1879
4703,11107,1881,1880
4743,11147,1881,1879
4783,11187,1881,1880
4838,11242,1878,1879
4863,11267,1878,1879
4904,11308,1878,1879
4944,11348,1878,1880
4983,11387,1878,1880
5023,11427,1878,1879
5063,11467,1858,1878
5103,11507,1858,1872
5143,11547,1840,1865
5183,11587,1840,1859
5223,11627,1840,1855
5263,11667,1836,1853
5303,11707,1836,1851
5343,11747,1822,1847
5383,11787,1822,1843
5423,11827,1822,1840
5463,11867,1822,1838
5503,11907,1822,1837
5543,11947,1785,1831
5583,11987,1785,1820
5638,12042,1752,1805
5663,12067,1752,1795
5703,12107,1752,1783
5743,12147,1752,1773
5783,12187,1752,1766
5823,12227,1752,1760
5863,12267,1725,1752
5903,12307,1725,1743
5943,12347,1712,1736
5983,12387,1712,1729
6023,12427,1712,1724
6063,12467,1712,1718
6103,12507,1712,1715
6143,12547,1712,1712
6183,12587,1712,1711
6223,12627,1712,1711
6263,12667,1691,1709
6303,12707,1691,1705
6343,12747,1691,1700
6383,12787,1691,1695
6423,12827,1691,1692
6463,12867,1662,1685
6503,12907,1662,1676
6543,12947,1641,1666
6583,12987,1641,1656
6622,13026,1641,1648
6663,13067,1641,1642
6703,13107,1641,1638
6742,13146,1619,1632
6782,13186,1619,1626
6822,13226,1619,1622
6862,13266,1619,1619
6903,13307,1619,1617
6943,13347,1619,1614
6983,13387,1619,1613
7023,13427,1619,1613
7063,13467,1619,1613
7103,13507,1619,1614
7143,13547,1619,1614
7183,13587,1619,1613
7222,13626,1619,1613
7262,13666,1619,1613
7303,13707,1619,1613
7342,13746,1619,1613
7383,13787,1619,1614
7423,13827,1619,1613
7462,13866,1619,1613
7503,13907,1619,1613
7542,13946,1619,1613
7582,13986,1619,1613
7623,14027,1619,1613
7662,14066,1619,1613
7703,14107,1619,1613
7742,14146,1619,1613
7783,14187,1619,1613
7822,14226,1619,1613
7862,14266,1619,1613
7903,14307,1619,1613
7943,14347,1619,1614
7982,14386,1619,1614
8023,14427,1619,1613
8063,14467,1619,1613
8102,14506,1619,1613
8143,14547,1619,1613
8182,14586,1619,1613
8222,14626,1619,1613
8262,14666,1619,1613
8302,14706,1619,1613
8342,14746,1619,1613
8382,14786,1619,1613
8422,14826,1619,1613
8462,14866,1619,1614
8502,14906,1619,1613
8542,14946,1619,1613
8582,14986,1619,1613
8622,15026,1619,1613
8662,15066,1619,1613
8702,15106,1619,1613
8742,15146,1619,1613
8782,15186,1619,1613
8822,15226,1619,1613
8862,15266,1619,1613
8902,15306,1619,1613
8942,15346,1619,1613
8982,15386,1619,1613
9022,15426,1619,1613
9062,15466,1619,1613
9102,15506,1619,1613
9142,15546,1619,1613
9183,15587,1619,1614
9222,15626,1619,1613
9262,15666,1619,1613
9303,15707,1619,1614
9342,15746,1619,1614
9382,15786,1619,1615
9422,15826,1619,1615
9462,15866,1619,1615
9502,15906,1619,1615
9542,15946,1619,1615
9582,15986,1619,1616
9622,16026,1619,1616
9662,16066,1619,1616
9702,16106,1619,1616
9742,16146,1619,1616
9782,16186,1619,1616
9822,16226,1619,1616
9862,16266,1619,1616
9902,16306,1619,1616
9942,16346,1619,1616
9982,16386,1619,1616
10022,16426,1619,1616
10062,16466,1619,1616
10102,16506,1619,1617
10142,16546,1619,1617
10182,16586,1619,1617
10222,16626,1619,1617
10263,16667,1619,1617
10302,16706,1619,1617
10342,16746,1619,1617
10382,16786,1619,1617
10422,16826,1619,1617
10462,16866,1619,1617
10502,16906,1619,1618
10542,16946,1619,1618
10582,16986,1619,1617
10622,17026,1619,1617
10662,17066,1619,1618
10702,17106,1619,1618
10742,17146,1619,1618
10782,17186,1619,1618
10822,17226,1619,1618
10862,17266,1619,1618
10902,17306,1619,1618
10942,17346,1619,1618
10982,17386,1619,1619
11022,17426,1619,1618
11062,17466,1619,1619
11102,17506,1619,1618
11142,17546,1619,1619
11182,17586,1619,1618
11222,17626,1619,1618
11262,17666,1619,1619
11302,17706,1619,1618
11342,17746,1619,1618
11382,17786,1619,1619
11422,17826,1619,1619
11462,17866,1619,1619
11502,17906,1619,1619
11542,17946,1619,1619
11582,17986,1619,1619
11622,18026,1619,1619
11662,18066,1619,1619
11702,18106,1619,1619
11742,18146,1619,1619
11781,18185,1619,1619
11821,18225,1619,1619
11862,18266,1619,1619
11902,18306,1619,1619
11942,18346,1619,1619
11982,18386,1619,1619
12022,18426,1619,1619
12061,18465,1619,1619
12102,18506,1619,1619
12142,18546,1619,1619
12182,18586,1619,1619
12222,18626,1619,1619
12262,18666,1619,1619
12301,18705,1619,1619
12342,18746,1619,1619
12381,18785,1619,1619
12422,18826,1619,1619
12461,18865,1619,1619
12501,18905,1619,1620
12542,18946,1619,1619
12582,18986,1619,1620
12622,19026,1619,1620
12661,19065,1619,1619
12702,19106,1619,1619
12742,19146,1619,1619
12782,19186,1619,1620
12822,19226,1619,1619
12862,19266,1619,1620
12902,19306,1619,1619
12941,19345,1619,1619
12981,19385,1619,1620
13021,19425,1619,1620
13062,19466,1619,1619
13102,19506,1619,1620
13142,19546,1619,1619
13182,19586,1619,1619
13222,19626,1619,1620
13262,19666,1619,1620
13302,19706,1619,1620
13342,19746,1619,1620
13382,19786,1619,1620
13422,19826,1619,1619
13462,19866,1619,1619
13501,19905,1619,1619
13542,19946,1619,1619
13582,19986,1619,1620
13621,20025,1619,1620
13662,20066,1619,1620
13702,20106,1619,1619
13725,20129,1619,1620
13762,20166,1619,1620
13802,20206,1619,1620
13842,20246,1619,1620
13882,20286,1619,1620
13921,20325,1619,1620
13962,20366,1619,1619
14001,20405,1619,1619
14042,20446,1619,1620
14081,20485,1619,1620
14121,20525,1619,1620
14161,20565,1619,1620
14201,20605,1619,1620
14241,20645,1619,1620
14281,20685,1619,1620
14321,20725,1619,1620
14362,20766,1619,1619
14402,20806,1619,1620
14442,20846,1619,1619
14482,20886,1619,1619
14522,20926,1619,1620
14562,20966,1619,1620
14601,21005,1619,1620
14642,21046,1619,1619
14682,21086,1619,1620
14722,21126,1619,1620
14762,21166,1619,1620
14802,21206,1619,1620
14842,21246,1619,1619
14881,21285,1619,1620
14921,21325,1619,1620
14961,21365,1619,1619
15001,21405,1619,1619
15041,21445,1619,1620
15081,21485,1619,1619
15121,21525,1619,1620
15162,21566,1619,1620
15202,21606,1619,1619
15242,21646,1619,1619
15282,21686,1619,1620
15322,21726,1619,1620
15362,21766,1619,1620
