Time[ms],Realtime Tick,Goal Position,Present Position
0,2634,2265,2266
100,2734,2265,2266
200,2834,2265,2267
263,2897,2265,2266
303,2937,2265,2267
343,2977,2265,2267
383,3017,2265,2267
423,3057,2265,2267
463,3097,2265,2267
503,3137,2265,2266
543,3177,2265,2266
583,3217,2265,2267
623,3257,2265,2267
663,3297,2265,2267
703,3337,2265,2267
743,3377,2265,2267
784,3418,2265,2267
823,3457,2265,2266
863,3497,2265,2267
903,3537,2265,2266
943,3577,2265,2267
983,3617,2265,2266
1023,3657,2265,2267
1063,3697,2265,2267
1103,3737,2265,2267
1143,3777,2265,2267
1183,3817,2265,2267
1223,3857,2265,2266
1263,3897,2265,2267
1303,3937,2265,2267
1343,3977,2265,2267
1383,4017,2265,2266
1423,4057,2265,2267
1463,4097,2265,2267
1503,4137,2265,2267
1543,4177,2265,2266
1583,4217,2265,2266
1623,4257,2265,2267
1663,4297,2265,2267
1703,4337,2265,2267
1743,4377,2265,2267
1783,4417,2265,2267
1823,4457,2265,2266
1863,4497,2265,2267
1903,4537,2265,2267
1943,4577,2265,2267
1983,4617,2265,2267
2023,4657,2265,2266
2063,4697,2265,2266
2103,4737,2265,2267
2143,4777,2265,2266
2183,4817,2265,2266
2223,4857,2265,2266
2263,4897,2265,2267
2303,4937,2265,2267
2343,4977,2265,2266
2383,5017,2265,2267
2423,5057,2232,2264
2463,5097,2232,2262
2503,5137,2164,2253
2543,5177,2164,2230
2583,5217,2164,2210
2623,5257,2129,2187
2663,5297,2129,2160
2718,5352,2111,2131
2743,5377,2111,2122
2783,5417,2111,2111
2823,5457,2111,2108
2863,5497,2111,2108
2903,5537,2111,2109
2943,5577,2111,2109
2983,5617,2111,2109
3023,5657,2111,2109
3063,5697,2111,2108
3103,5737,2111,2108
3143,5777,2111,2108
3183,5817,2111,2109
3223,5857,2111,2109
3263,5897,2111,2109
3303,5937,2111,2108
3343,5977,2111,2108
3383,6017,2111,2108
3423,6057,2111,2108
3463,6097,2111,2109
3503,6137,2111,2109
3543,6177,2111,2108
