Time[ms],Realtime Tick,Goal Position,Present Position
0,27908,2038,2038
100,28008,2038,2038
200,28108,2038,2038
244,28152,2038,2038
284,28192,2038,2038
324,28232,2038,2038
364,28272,2038,2038
404,28312,2038,2038
444,28352,2038,2038
484,28392,2038,2038
524,28432,2038,2038
564,28472,2038,2038
604,28512,2038,2038
644,28552,2038,2038
684,28592,2038,2038
724,28632,2038,2038
764,28672,2038,2038
804,28712,2038,2038
845,28753,2038,2038
884,28792,2038,2038
924,28832,2038,2038
965,28873,2038,2038
1004,28912,2038,2038
1044,28952,2038,2038
1084,28992,2038,2038
1124,29032,2038,2038
1164,29072,2038,2038
1204,29112,2038,2038
1244,29152,2038,2038
1284,29192,2038,2038
1324,29232,2038,2038
1364,29272,2038,2038
1404,29312,2038,2038
1444,29352,2038,2038
1484,29392,2038,2038
1524,29432,2038,2038
1564,29472,2038,2038
1604,29512,2038,2038
1644,29552,2038,2038
1684,29592,2038,2038
1725,29633,2038,2038
1764,29672,2038,2038
1804,29712,2038,2038
1844,29752,2038,2038
1884,29792,2038,2038
1924,29832,2038,2038
1964,29872,2038,2038
2004,29912,2038,2038
2044,29952,2038,2038
2084,29992,2038,2038
2124,30032,2038,2038
2164,30072,2038,2038
2204,30112,2038,2038
2244,30152,2038,2038
2284,30192,2038,2038
2324,30232,2038,2038
2364,30272,2038,2038
2404,30312,2038,2038
2444,30352,2038,2038
2484,30392,2038,2038
2524,30432,2038,2038
2564,30472,2038,2038
2604,30512,2038,2038
2644,30552,2038,2038
2684,30592,2040,2038
2724,30632,2040,2038
2764,30672,2040,2038
2803,30711,2084,2046
2844,30752,2084,2063
2884,30792,2112,2076
2924,30832,2112,2094
2964,30872,2112,2104
3004,30912,2084,2102
3044,30952,2084,2093
3084,30992,2084,2090
3124,31032,2084,2090
3164,31072,2084,2089
3204,31112,2069,2083
3244,31152,2069,2075
3284,31192,2069,2073
3324,31232,2069,2073
3364,31272,2069,2073
3404,31312,2055,2068
3444,31352,2055,2060
3484,31392,2026,2054
3524,31432,2026,2036
3563,31471,2026,2028
3604,31512,2026,2026
3644,31552,2026,2025
3684,31592,1997,2022
3724,31632,1997,2005
3764,31672,1997,1999
3804,31712,1997,1997
3844,31752,1997,1995
3884,31792,1983,1994
3924,31832,1983,1985
3964,31872,1983,1982
4004,31912,1954,1975
4043,31951,1954,1960
4083,31991,1926,1950
4123,32031,1926,1931
4164,32072,1926,1924
4203,32111,1912,1918
4243,32151,1912,1911
4284,32192,1898,1907
4323,32231,1898,1898
4364,32272,1898,1895
4404,32312,1898,1894
4444,32352,1898,1894
4484,32392,1898,1894
4524,32432,1898,1894
4563,32471,1898,1894
4604,32512,1898,1894
4644,32552,1898,1894
4684,32592,1898,1894
4724,32632,1898,1894
4763,32671,1898,1894
4803,32711,1898,1894
4843,32751,1898,1894
4883,24,1898,1894
4922,63,1898,1894
4962,103,1898,1894
5003,144,1898,1894
5042,183,1898,1894
5082,223,1898,1894
5122,263,1898,1894
5162,303,1898,1894
5202,343,1898,1894
5243,384,1898,1895
5282,423,1898,1894
5323,464,1898,1894
5362,503,1898,1895
5402,543,1898,1895
5442,583,1898,1894
5482,623,1898,1895
5522,663,1898,1895
5562,703,1898,1895
5603,744,1898,1895
5642,783,1898,1894
5682,823,1898,1895
5722,863,1898,1895
5762,903,1898,1895
5802,943,1898,1896
5842,983,1898,1895
5882,1023,1898,1895
5922,1063,1898,1895
5962,1103,1898,1896
6002,1143,1898,1896
6042,1183,1898,1895
6082,1223,1898,1895
6122,1263,1898,1895
6162,1303,1898,1895
6202,1343,1898,1896
6242,1383,1898,1896
6282,1423,1898,1896
6322,1463,1898,1895
6362,1503,1898,1896
6402,1543,1898,1896
6442,1583,1898,1896
6482,1623,1898,1896
6522,1663,1898,1896
6562,1703,1898,1896
6602,1743,1898,1897
6642,1783,1898,1898
6682,1823,1898,1897
6722,1863,1898,1898
6762,1903,1898,1898
6802,1943,1898,1898
6842,1983,1898,1898
6882,2023,1898,1898
6922,2063,1898,1898
6962,2103,1898,1898
7002,2143,1898,1898
7042,2183,1898,1898
7082,2223,1898,1898
7122,2263,1898,1898
7162,2303,1898,1898
7202,2343,1898,1898
7242,2383,1898,1898
7282,2423,1898,1898
7322,2463,1898,1898
7362,2503,1898,1898
7402,2543,1898,1898
7442,2583,1898,1898
7482,2623,1898,1898
7522,2663,1898,1898
7562,2703,1898,1898
7602,2743,1898,1898
7642,2783,1898,1898
7682,2823,1898,1898
7722,2863,1898,1898
7762,2903,1898,1897
7802,2943,1898,1898
7843,2984,1898,1898
7882,3023,1898,1898
7922,3063,1898,1898
7962,3103,1898,1898
8002,3143,1898,1898
8042,3183,1898,1898
8082,3223,1898,1898
8122,3263,1898,1898
8162,3303,1898,1898
8202,3343,1898,1898
8242,3383,1898,1898
8282,3423,1898,1898
8322,3463,1898,1898
8362,3503,1898,1898
8402,3543,1898,1898
8442,3583,1898,1898
8482,3623,1898,1898
8522,3663,1898,1898
8562,3703,1898,1898
8602,3743,1898,1898
8642,3783,1898,1898
8682,3823,1898,1898
8722,3863,1898,1898
8762,3903,1898,1898
8784,3925,1898,1898
8822,3963,1898,1898
8862,4003,1898,1898
8902,4043,1898,1898
8942,4083,1898,1898
8982,4123,1898,1898
9022,4163,1898,1898
9062,4203,1898,1898
9102,4243,1898,1898
9142,4283,1898,1898
9182,4323,1898,1898
9204,4345,1898,1898
9241,4382,1898,1898
9281,4422,1898,1898
9322,4463,1898,1898
9362,4503,1898,1898
9384,4525,1898,1898
9422,4563,1898,1898
9462,4603,1898,1898
9502,4643,1898,1898
9542,4683,1898,1898
9582,4723,1898,1898
9621,4762,1898,1898
9662,4803,1898,1898
9702,4843,1898,1898
9741,4882,1898,1898
9781,4922,1898,1898
9821,4962,1898,1898
9844,4985,1898,1897
9903,5044,1928,1913
9943,5084,1928,1922
9983,5124,1952,1933
10023,5164,1952,1946
10063,5204,1952,1953
10103,5244,1992,1965
10143,5284,1992,1983
10183,5324,1992,1991
10223,5364,1992,1993
10263,5404,1992,1996
10286,5427,1992,1996
10323,5464,1992,1996
10364,5505,1992,1996
10403,5544,1992,1996
10443,5584,1992,1996
10484,5625,2008,1998
10523,5664,2008,2005
10563,5704,2008,2009
10603,5744,2040,2018
10643,5784,2040,2032
10683,5824,2040,2039
10723,5864,2040,2041
10763,5904,2040,2044
10803,5944,2055,2047
10843,5984,2055,2054
10883,6024,2072,2057
10906,6047,2072,2064
10943,6084,2072,2070
10983,6124,2088,2076
11023,6164,2088,2087
11063,6204,2088,2091
11103,6244,2088,2092
11126,6267,2088,2092
11163,6304,2088,2092
11203,6344,2088,2092
11226,6367,2088,2092
11264,6405,2088,2092
11304,6445,2088,2092
11363,6504,2088,2092
11403,6544,2088,2092
11426,6567,2088,2092
11463,6604,2088,2092
11504,6645,2088,2092
11527,6668,2088,2092
11564,6705,2088,2092
11587,6728,2088,2092
11624,6765,2088,2092
11664,6805,2088,2092
11704,6845,2088,2092
11744,6885,2088,2092
11767,6908,2088,2092
11804,6945,2088,2092
11844,6985,2088,2092
11867,7008,2088,2092
11904,7045,2088,2092
11944,7085,2088,2092
11967,7108,2088,2092
12004,7145,2088,2092
12044,7185,2088,2092
12067,7208,2088,2092
12103,7244,2088,2092
12144,7285,2088,2092
12167,7308,2088,2092
12204,7345,2088,2092
12244,7385,2088,2092
12267,7408,2088,2092
12303,7444,2088,2092
12344,7485,2088,2091
12384,7525,2088,2092
12407,7548,2088,2092
12443,7584,2088,2092
12484,7625,2088,2092
12507,7648,2088,2092
12543,7684,2088,2092
12584,7725,2088,2091
12607,7748,2088,2091
12644,7785,2088,2091
12667,7808,2088,2091
12704,7845,2088,2091
12727,7868,2088,2091
12764,7905,2088,2091
12787,7928,2088,2091
12824,7965,2088,2091
12846,7987,2088,2091
12884,8025,2088,2091
12907,8048,2088,2091
12944,8085,2088,2091
12967,8108,2088,2091
13004,8145,2088,2091
13027,8168,2088,2091
13064,8205,2088,2091
13087,8228,2088,2091
13124,8265,2088,2090
13164,8305,2088,2090
13204,8345,2088,2090
13243,8384,2088,2091
13283,8424,2088,2090
13324,8465,2088,2090
13364,8505,2088,2090
13387,8528,2088,2090
13424,8565,2088,2090
13447,8588,2088,2091
13484,8625,2088,2090
13507,8648,2088,2090
13544,8685,2088,2090
13567,8708,2088,2090
13604,8745,2088,2090
13644,8785,2088,2089
13667,8808,2088,2088
13704,8845,2088,2089
13744,8885,2088,2089
13784,8925,2088,2089
13807,8948,2088,2088
13843,8984,2088,2088
13884,9025,2088,2088
13907,9048,2088,2089
13943,9084,2088,2089
13984,9125,2088,2088
14007,9148,2088,2088
14044,9185,2088,2088
14066,9207,2088,2088
14104,9245,2088,2088
14127,9268,2088,2088
14164,9305,2088,2088
14186,9327,2088,2089
14224,9365,2088,2088
14247,9388,2088,2089
14284,9425,2088,2088
14323,9464,2088,2088
14363,9504,2088,2088
14404,9545,2088,2088
14427,9568,2088,2088
14464,9605,2088,2089
14504,9645,2088,2088
14526,9667,2088,2089
14563,9704,2088,2088
14604,9745,2088,2088
14626,9767,2088,2089
14664,9805,2088,2088
14686,9827,2088,2088
14724,9865,2088,2088
14746,9887,2088,2088
14784,9925,2088,2089
14806,9947,2088,2088
14844,9985,2088,2088
14866,10007,2088,2088
14904,10045,2088,2088
14926,10067,2088,2088
14964,10105,2088,2088
14986,10127,2088,2089
15024,10165,2088,2088
15046,10187,2088,2088
15083,10224,2088,2088
15123,10264,2088,2088
15146,10287,2088,2088
15183,10324,2088,2088
15224,10365,2088,2089
15246,10387,2088,2088
15284,10425,2088,2088
15306,10447,2088,2088
