Time[ms],Realtime Tick,Goal Position,Present Position
0,32552,3151,3151
100,32652,3151,3151
200,32752,3151,3151
273,58,3151,3151
314,99,3151,3151
354,139,3151,3151
394,179,3151,3151
434,219,3151,3151
456,241,3151,3151
493,278,3151,3151
534,319,3151,3151
573,358,3151,3151
614,399,3151,3151
653,438,3151,3151
694,479,3151,3151
716,501,3151,3151
754,539,3151,3151
776,561,3151,3151
814,599,3151,3151
836,621,3151,3151
874,659,3151,3151
913,698,3151,3151
953,738,3151,3151
993,778,3151,3151
1034,819,3151,3151
1056,841,3151,3151
1094,879,3151,3151
1116,901,3151,3151
1153,938,3151,3151
1193,978,3151,3151
1233,1018,3151,3151
1273,1058,3151,3151
1313,1098,3151,3151
1353,1138,3151,3151
1393,1178,3151,3151
1434,1219,3151,3151
1456,1241,3151,3151
1493,1278,3151,3151
1534,1319,3151,3151
1556,1341,3151,3151
1593,1378,3151,3151
1633,1418,3151,3151
1674,1459,3151,3151
1696,1481,3151,3151
1733,1518,3151,3151
1773,1558,3151,3151
1813,1598,3151,3151
1853,1638,3151,3151
1893,1678,3151,3151
1933,1718,3151,3151
1956,1741,3151,3151
1993,1778,3151,3151
2016,1801,3151,3151
2053,1838,3151,3151
2093,1878,3151,3151
2133,1918,3151,3151
2156,1941,3151,3151
2193,1978,3151,3151
2233,2018,3151,3151
2274,2059,3151,3151
2313,2098,3204,3152
2353,2138,3204,3180
2393,2178,3204,3204
2433,2218,3204,3210
2473,2258,3204,3210
2496,2281,3204,3210
2533,2318,3204,3210
2556,2341,3204,3210
2593,2378,3204,3210
2633,2418,3204,3210
2673,2458,3204,3210
2713,2498,3193,3210
2753,2538,3193,3210
2793,2578,3099,3208
2834,2619,3099,3164
2873,2658,3058,3137
2913,2698,3058,3111
2953,2738,3058,3092
3013,2798,2989,3065
3036,2821,2989,3042
3075,2860,2976,3015
3114,2899,2976,2998
3137,2922,2976,2993
3176,2961,2963,2992
3213,2998,2963,2986
3254,3039,2963,2983
3294,3079,2963,2982
3333,3118,2963,2982
3374,3159,2936,2982
3413,3198,2936,2969
3436,3221,2936,2961
3475,3260,2897,2953
3514,3299,2897,2928
3553,3338,2897,2910
3576,3361,2897,2905
3613,3398,2897,2904
3636,3421,2897,2904
3674,3459,2897,2904
3714,3499,2897,2904
3753,3538,2897,2904
3794,3579,2884,2902
3833,3618,2884,2897
3873,3658,2859,2895
3913,3698,2859,2884
3954,3739,2859,2873
4013,3798,2843,2860
4036,3821,2843,2854
4073,3858,2843,2848
4114,3899,2843,2845
4137,3922,2843,2845
4173,3958,2843,2844
4213,3998,2843,2845
4253,4038,2843,2844
4293,4078,2843,2845
4333,4118,2843,2844
4356,4141,2843,2844
4394,4179,2843,2844
4434,4219,2843,2844
4457,4242,2843,2844
4494,4279,2843,2844
4533,4318,2843,2844
4573,4358,2843,2844
4613,4398,2843,2844
4636,4421,2843,2844
4674,4459,2843,2844
4714,4499,2843,2844
4754,4539,2843,2844
4793,4578,2843,2844
4834,4619,2843,2845
4873,4658,2843,2844
4896,4681,2843,2844
4933,4718,2843,2844
4974,4759,2843,2845
4997,4782,2843,2844
5033,4818,2843,2844
5073,4858,2843,2844
5096,4881,2843,2844
5134,4919,2843,2844
5174,4959,2843,2844
5213,4998,2843,2844
5235,5020,2843,2844
5274,5059,2843,2844
5314,5099,2843,2844
5354,5139,2843,2844
5394,5179,2843,2844
5433,5218,2843,2844
5473,5258,2843,2844
5514,5299,2843,2844
5554,5339,2843,2844
5594,5379,2843,2844
5633,5418,2843,2844
5674,5459,2843,2844
5714,5499,2843,2844
5754,5539,2843,2845
5793,5578,2843,2844
5816,5601,2843,2844
5854,5639,2843,2844
5894,5679,2843,2844
5934,5719,2843,2844
5974,5759,2843,2844
6013,5798,2843,2844
6054,5839,2843,2844
6094,5879,2843,2844
6133,5918,2843,2844
6173,5958,2843,2844
6213,5998,2843,2844
6253,6038,2843,2844
6293,6078,2843,2844
6333,6118,2843,2845
6374,6159,2843,2844
6413,6198,2843,2844
6453,6238,2843,2844
6493,6278,2843,2844
6533,6318,2843,2844
6573,6358,2843,2844
6613,6398,2843,2844
6654,6439,2843,2844
6693,6478,2843,2844
6733,6518,2843,2844
6773,6558,2843,2844
6813,6598,2843,2844
6853,6638,2843,2844
6894,6679,2843,2844
6933,6718,2843,2844
6973,6758,2843,2844
7013,6798,2843,2844
7053,6838,2843,2844
7093,6878,2843,2844
7134,6919,2843,2844
7173,6958,2843,2844
7213,6998,2843,2844
7253,7038,2843,2844
7293,7078,2843,2844
7333,7118,2843,2844
7373,7158,2843,2844
7413,7198,2843,2844
7453,7238,2843,2844
7493,7278,2843,2844
7533,7318,2843,2844
7573,7358,2843,2844
7613,7398,2843,2844
7653,7438,2843,2844
7694,7479,2843,2844
7733,7518,2843,2844
7773,7558,2843,2844
7813,7598,2843,2844
7836,7621,2843,2844
7873,7658,2843,2844
7913,7698,2843,2844
7953,7738,2843,2844
7993,7778,2843,2844
8016,7801,2843,2844
8053,7838,2843,2844
8076,7861,2843,2844
8113,7898,2843,2844
8153,7938,2843,2844
8192,7977,2843,2844
8215,8000,2843,2844
8253,8038,2843,2844
8293,8078,2843,2844
8333,8118,2843,2844
8373,8158,2843,2844
8412,8197,2843,2844
8453,8238,2843,2844
8493,8278,2843,2844
8533,8318,2843,2844
8573,8358,2843,2844
8613,8398,2843,2844
8653,8438,2843,2844
8693,8478,2843,2844
8733,8518,2843,2844
8773,8558,2843,2844
8813,8598,2843,2844
8853,8638,2843,2844
8893,8678,2843,2844
8933,8718,2843,2844
8973,8758,2843,2844
9013,8798,2843,2844
9053,8838,2843,2844
9092,8877,2843,2844
9133,8918,2843,2844
9173,8958,2843,2844
9212,8997,2843,2844
9252,9037,2843,2844
9293,9078,2843,2844
9333,9118,2843,2844
9373,9158,2843,2844
9413,9198,2843,2844
