Time[ms],Realtime Tick,Goal Position,Present Position
0,9328,3288,3270
100,9428,3288,3272
200,9528,3288,3272
286,9614,3288,3274
326,9654,3288,3274
367,9695,3288,3275
406,9734,3288,3275
446,9774,3288,3275
486,9814,3288,3275
526,9854,3288,3275
566,9894,3288,3275
606,9934,3288,3275
646,9974,3288,3275
686,10014,3288,3275
726,10054,3288,3275
766,10094,3288,3277
806,10134,3288,3277
846,10174,3288,3277
886,10214,3288,3277
926,10254,3288,3277
966,10294,3288,3277
1006,10334,3288,3277
1046,10374,3288,3277
1086,10414,3288,3278
1126,10454,3288,3278
1166,10494,3288,3278
1206,10534,3288,3278
1246,10574,3288,3278
1286,10614,3288,3278
1326,10654,3288,3279
1366,10694,3288,3279
1406,10734,3288,3279
1446,10774,3288,3279
1486,10814,3288,3279
1526,10854,3288,3281
1566,10894,3288,3282
1606,10934,3288,3282
1646,10974,3288,3282
1686,11014,3288,3282
1726,11054,3288,3282
1766,11094,3288,3282
1806,11134,3288,3282
1846,11174,3288,3282
1886,11214,3288,3282
1926,11254,3288,3282
1966,11294,3288,3282
2006,11334,3288,3282
2046,11374,3288,3282
2086,11414,3288,3282
2126,11454,3288,3282
2166,11494,3288,3282
2206,11534,3288,3282
2245,11573,3288,3282
2286,11614,3288,3282
2326,11654,3288,3282
2366,11694,3288,3282
2406,11734,3288,3282
2446,11774,3288,3282
2486,11814,3288,3282
2526,11854,3288,3284
2566,11894,3288,3284
2606,11934,3288,3284
2646,11974,3288,3284
2686,12014,3288,3284
2726,12054,3288,3284
2765,12093,3288,3284
2806,12134,3288,3284
2846,12174,3288,3284
2886,12214,3288,3284
2925,12253,3288,3284
2965,12293,3288,3284
3005,12333,3288,3284
3045,12373,3288,3284
3086,12414,3288,3284
3126,12454,3288,3284
3165,12493,3288,3284
3206,12534,3288,3284
3245,12573,3288,3284
3285,12613,3288,3284
3325,12653,3288,3284
3366,12694,3288,3284
3405,12733,3288,3284
3446,12774,3288,3284
3485,12813,3288,3284
3526,12854,3288,3284
3565,12893,3288,3285
3605,12933,3288,3285
3646,12974,3288,3285
3685,13013,3288,3285
3725,13053,3288,3285
3766,13094,3288,3285
3805,13133,3288,3285
3860,13188,3249,3283
3885,13213,3249,3282
3925,13253,3249,3282
3965,13293,3249,3282
4005,13333,3249,3282
4045,13373,3249,3282
4085,13413,3238,3282
4125,13453,3238,3282
4165,13493,3227,3282
4205,13533,3227,3278
4245,13573,3227,3274
4285,13613,3203,3266
4326,13654,3203,3253
4365,13693,3203,3243
4405,13733,3156,3233
4445,13773,3156,3211
4486,13814,3144,3196
4525,13853,3144,3184
4565,13893,3144,3179
4605,13933,3144,3177
4645,13973,3144,3174
4685,14013,3144,3174
4725,14053,3144,3174
4765,14093,3144,3174
4805,14133,3144,3174
4846,14174,3144,3174
4885,14213,3144,3174
4925,14253,3144,3174
4965,14293,3144,3174
5005,14333,3144,3174
5045,14373,3144,3174
5085,14413,3144,3174
5125,14453,3144,3174
5165,14493,3144,3174
5205,14533,3144,3174
5246,14574,3144,3174
5285,14613,3144,3174
5325,14653,3144,3174
5365,14693,3144,3174
5405,14733,3144,3174
5445,14773,3144,3174
5485,14813,3144,3174
5525,14853,3144,3174
5566,14894,3144,3174
5605,14933,3144,3174
5645,14973,3144,3174
5685,15013,3144,3174
5725,15053,3144,3174
5765,15093,3144,3174
5805,15133,3144,3174
5845,15173,3144,3174
5885,15213,3144,3174
5925,15253,3144,3170
5965,15293,3144,3165
6005,15333,3144,3163
6045,15373,3144,3161
6085,15413,3144,3159
6125,15453,3144,3159
6165,15493,3144,3159
6205,15533,3144,3159
6245,15573,3144,3159
6285,15613,3144,3159
6325,15653,3144,3159
6365,15693,3144,3159
6387,15715,3144,3159
6425,15753,3144,3159
6465,15793,3144,3159
6506,15834,3144,3159
6545,15873,3144,3159
6585,15913,3144,3159
6625,15953,3144,3159
6666,15994,3144,3159
6705,16033,3144,3159
6745,16073,3144,3159
6785,16113,3144,3159
6825,16153,3144,3159
6865,16193,3144,3159
6905,16233,3144,3158
6945,16273,3144,3159
6985,16313,3144,3159
7025,16353,3144,3159
7065,16393,3144,3159
7105,16433,3144,3159
7145,16473,3144,3159
7185,16513,3144,3159
7225,16553,3144,3158
7265,16593,3144,3159
7305,16633,3144,3158
7345,16673,3144,3159
7386,16714,3144,3159
7425,16753,3144,3159
7465,16793,3144,3159
7506,16834,3144,3158
7545,16873,3144,3159
7585,16913,3144,3158
7626,16954,3144,3158
7665,16993,3144,3158
7705,17033,3144,3159
7746,17074,3144,3159
7785,17113,3144,3159
7807,17135,3144,3158
7846,17174,3144,3158
7885,17213,3144,3158
7926,17254,3144,3158
7965,17293,3144,3159
8005,17333,3144,3159
8046,17374,3144,3159
8085,17413,3144,3158
8125,17453,3144,3159
8166,17494,3144,3158
8205,17533,3144,3158
8227,17555,3144,3158
8266,17594,3144,3159
8306,17634,3144,3158
8344,17672,3144,3159
8385,17713,3144,3158
