time,B2C_reference,B2C_state,C2F_reference,C2F_state,F2T_reference,F2T_state,T2E_reference,T2E_state,wristH_reference,wristH_state,wristV_reference,wristV_state,driving_reference,driving_state,
-57575.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.02062,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57555.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.02062,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57535,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.02062,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57515.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.02062,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57495.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57475.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57455.4,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57435.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57415.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57395.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57375.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57355.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57335.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57315.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57295.5,-0.227029,-0.227029,-0.423379,-0.423379,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57275.6,-0.227029,-0.227029,-0.423379,-0.424913,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57255.5,-0.227029,-0.227029,-0.423379,-0.424913,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57235.5,-0.227029,-0.227029,-0.423379,-0.424913,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57215.5,-0.227029,-0.227029,-0.423379,-0.424913,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
-57195.6,-0.227029,-0.227029,-0.423379,-0.424913,2.02062,2.01908,0.180643,0.182177,0.343612,0.343612,-0.0122718,-0.0122718,-0.66268,-0.66268,
