time,B2C_reference,B2C_state,C2F_reference,C2F_state,F2T_reference,F2T_state,T2E_reference,T2E_state,wristH_reference,wristH_state,wristV_reference,wristV_state,driving_reference,driving_state,
-57398.8,0,-0.0920388,0,-0.0690291,0,1.90557,0,-0.261143,0,0.527689,0,0,0,0.745515,
-57378.8,0,-0.0920388,0,-0.0690291,0,1.90557,0,-0.261143,0,0.527689,0,0,0,0.745515,
-57358.8,0,-0.0920388,0,-0.0690291,0,1.90557,0,-0.261143,0,0.527689,0,0,0,0.745515,
-57338.8,0,-0.0920388,0,-0.0690291,0,1.90557,0,-0.261143,0,0.527689,0,0,0,0.745515,
-57318.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.267279,0,0.526155,0,0,0,0.745515,
-57298.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.267279,0,0.526155,0,0,0,0.745515,
-57278.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.267279,0,0.526155,0,0,0,0.745515,
-57258.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.267279,0,0.526155,0,0,0,0.745515,
-57238.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.267279,0,0.526155,0,0,0,0.745515,
-57218.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.265745,0,0.526155,0,0,0,0.745515,
-57198.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.265745,0,0.526155,0,0,0,0.745515,
-57178.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.265745,0,0.526155,0,0,0,0.745515,
-57158.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.265745,0,0.526155,0,0,0,0.745515,
-57138.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.265745,0,0.526155,0,0,0,0.745515,
-57118.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.524621,0,0,0,0.745515,
-57098.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.524621,0,0,0,0.745515,
-57078.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.524621,0,0,0,0.745515,
-57058.9,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.524621,0,0,0,0.745515,
-57036.6,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.524621,0,0,0,0.745515,
-57018.9,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56998.9,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56978.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56958.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56938.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56918.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0,0,0.745515,
-56898.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0,0,0.745515,
-56878.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0,0,0.745515,
-56858.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0,0,0.745515,
-56838.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0,0,0.745515,
-56818.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56798.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56778.2,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56758.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56738.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56718.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56698.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56678.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56658.9,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56638.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56618.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56598.4,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56578.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56558.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56538.8,0,-0.0920388,0,-0.0674952,0,1.90864,0,-0.264211,0,0.526155,0,0.00153398,0,0.745515,
-56518.9,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56498.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56478.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
-56458.8,0,-0.0920388,0,-0.0690291,0,1.90864,0,-0.262677,0,0.526155,0,0,0,0.745515,
