time,B2C_reference,B2C_state,C2F_reference,C2F_state,F2T_reference,F2T_state,T2E_reference,T2E_state,wristH_reference,wristH_state,wristV_reference,wristV_state,driving_reference,driving_state,
14417.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14437.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14457.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14477.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14497.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14517.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14537.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14557.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14577.2,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14597.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14617.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14637.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14657.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14677.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14697.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14717.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14737.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14757.2,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14777.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14797.2,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.107745,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14817.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14837.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14857.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14877.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14897.3,-0.115049,-0.115049,-0.480136,-0.48167,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14917.4,-0.115049,-0.115049,-0.480136,-0.48167,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14937.4,-0.115049,-0.115049,-0.480136,-0.48167,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14957.4,-0.115049,-0.115049,-0.480136,-0.48167,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14977.3,-0.115049,-0.115049,-0.480136,-0.48167,1.92858,1.92858,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
14997.4,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.93011,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
15017.3,-0.115049,-0.115049,-0.480136,-0.480136,1.92858,1.93011,-0.109279,-0.109279,0.676486,0.676486,0.0138058,0.0138058,2.0448,2.0448,
