time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,-0.00270679,-0.504983,0,-1.04764,6.04753,1.5708,2.58595,9.26118,0,0.0312502,5.25526,0,-2.35624,0.716755,0,1.5708,1.02866,0,0.000355941,-0.528281,
1.00352e+06,0,-0.00270679,-0.504833,0,-1.04764,6.04779,1.5708,2.58595,9.26311,0,0.0312502,5.25691,0,-2.35624,0.716978,0,1.5708,1.02865,0,0.000361885,-0.528367,
2.00294e+06,0,-0.00270679,-0.504684,0,-1.04764,6.04714,1.5708,2.58595,9.26503,0,0.0312502,5.25856,0,-2.35624,0.7172,0,1.5708,1.02865,0,0.000383202,-0.528664,
3.00237e+06,0,-0.00270679,-0.504535,0,-1.04764,6.04829,1.5708,2.58595,9.26696,0,0.0312502,5.26021,0,-2.35624,0.717422,0,1.5708,1.02865,0,0.000373014,-0.528755,
4.00179e+06,0,-0.00270679,-0.504386,0,-1.04764,6.04896,1.5708,2.58595,9.26889,0,0.0312502,5.26186,0,-2.35624,0.717645,0,1.5708,1.02864,0,0.00033516,-0.528773,
5.00122e+06,0,-0.00270679,-0.504236,0,-1.04764,6.05148,1.5708,2.58595,9.27081,0,0.0312502,5.26351,0,-2.35624,0.717867,0,1.5708,1.02864,0,0.000328075,-0.528301,
5.00122e+06,0,-0.00270679,-0.504087,0,-1.04764,6.05158,1.5708,2.58595,9.27274,0,0.0312502,5.26516,0,-2.35624,0.71809,0,1.5708,1.02864,0,0.000328075,-0.528405,
6.00064e+06,0,-0.00270679,-0.503938,0,-1.04764,6.05203,1.5708,2.58595,9.27466,0,0.0312502,5.26681,0,-2.35624,0.718312,0,1.5708,1.02863,0,0.000308441,-0.528475,
7.00006e+06,0,-0.00270679,-0.503789,0,-1.04764,6.05293,1.5708,2.58595,9.27659,0,0.0312502,5.26846,0,-2.35624,0.718535,0,1.5708,1.02863,0,0.000217849,-0.528531,
8.00358e+06,0,-0.00270679,-0.503639,0,-1.04764,6.05354,1.5708,2.58595,9.27852,0,0.0312502,5.2701,0,-2.35624,0.718757,0,1.5708,1.02863,0,0.000208854,-0.528569,
9.00301e+06,0,-0.00270679,-0.50349,0,-1.04764,6.05393,1.5708,2.58595,9.28044,0,0.0312502,5.27175,0,-2.35624,0.71898,0,1.5708,1.02862,0,0.000227111,-0.528623,
1.00024e+07,0,-0.00270679,-0.503341,0,-1.04764,6.05518,1.5708,2.58595,9.28237,0,0.0312502,5.2734,0,-2.35624,0.719202,0,1.5708,1.02862,0,0.000240511,-0.528675,
1.10019e+07,0,-0.00270679,-0.503192,0,-1.04764,6.05603,1.5708,2.58595,9.2843,0,0.0312502,5.27505,0,-2.35624,0.719425,0,1.5708,1.02862,0,0.000245782,-0.528725,
1.20013e+07,0,-0.00270679,-0.50308,0,-1.04764,6.05605,1.5708,2.58595,9.28574,0,0.0312502,5.27629,0,-2.35624,0.719591,0,1.5708,1.02861,0,0.000247429,-0.528998,
1.20013e+07,0,-0.00270679,-0.50293,0,-1.04764,6.05713,1.5708,2.58595,9.28767,0,0.0312502,5.27794,0,-2.35624,0.719814,0,1.5708,1.02861,0,0.000247429,-0.52868,
1.20013e+07,0,-0.00270679,-0.502781,0,-1.04764,6.05791,1.5708,2.58595,9.28959,0,0.0312502,5.27959,0,-2.35624,0.720036,0,1.5708,1.02861,0,0.000247429,-0.528632,
1.20013e+07,0,-0.00270679,-0.502632,0,-1.04764,6.05865,1.5708,2.58595,9.29152,0,0.0312502,5.28124,0,-2.35624,0.720259,0,1.5708,1.0286,0,0.000247429,-0.528625,
