time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,0.0016326,0.505142,0,-0.927665,-1.19255,1.5708,2.13168,-0.655788,0,0.366547,-0.384578,0,-2.35621,-0.427945,0,1.5708,0.830567,0,-1.036e-10,-0.0268259,
999424,0,0.0016326,0.505138,0,-0.927665,-1.19214,1.5708,2.13168,-0.656133,0,0.366547,-0.384379,0,-2.35621,-0.427874,0,1.5708,0.830564,0,-1.04035e-10,-0.0268243,
2.00294e+06,0,0.0016326,0.505135,0,-0.927665,-1.19172,1.5708,2.13168,-0.656478,0,0.366547,-0.38418,0,-2.35621,-0.427803,0,1.5708,0.830561,0,-1.0409e-10,-0.0268226,
3.00237e+06,0,0.0016326,0.505131,0,-0.927665,-1.19131,1.5708,2.13168,-0.656822,0,0.366547,-0.383981,0,-2.35621,-0.427732,0,1.5708,0.830558,0,-1.04147e-10,-0.026821,
4.00179e+06,0,0.0016326,0.505128,0,-0.927665,-1.1909,1.5708,2.13168,-0.657167,0,0.366547,-0.383782,0,-2.35621,-0.427661,0,1.5708,0.830554,0,-1.04197e-10,-0.0268194,
5.00122e+06,0,0.0016326,0.505124,0,-0.927665,-1.19049,1.5708,2.13168,-0.657512,0,0.366547,-0.383583,0,-2.35621,-0.42759,0,1.5708,0.830551,0,-1.04234e-10,-0.0268177,
6.00064e+06,0,0.0016326,0.505121,0,-0.927665,-1.19008,1.5708,2.13168,-0.657857,0,0.366547,-0.383384,0,-2.35621,-0.427519,0,1.5708,0.830548,0,-1.043e-10,-0.0268161,
7.00006e+06,0,0.0016326,0.505117,0,-0.927665,-1.18967,1.5708,2.13168,-0.658201,0,0.366547,-0.383185,0,-2.35621,-0.427448,0,1.5708,0.830545,0,-1.04359e-10,-0.0268144,
7.99949e+06,0,0.0016326,0.505113,0,-0.927665,-1.18926,1.5708,2.13168,-0.658546,0,0.366547,-0.382986,0,-2.35621,-0.427377,0,1.5708,0.830542,0,-1.04407e-10,-0.0268128,
9.00301e+06,0,0.0016326,0.50511,0,-0.927665,-1.18885,1.5708,2.13168,-0.658891,0,0.366547,-0.382787,0,-2.35621,-0.427306,0,1.5708,0.830539,0,-1.04463e-10,-0.0268112,
1.00024e+07,0,0.0016326,0.505106,0,-0.927665,-1.18844,1.5708,2.13168,-0.659236,0,0.366547,-0.382588,0,-2.35621,-0.427235,0,1.5708,0.830536,0,-1.04503e-10,-0.0268095,
1.10019e+07,0,0.0016326,0.505103,0,-0.927665,-1.18803,1.5708,2.13168,-0.65958,0,0.366547,-0.382389,0,-2.35621,-0.427164,0,1.5708,0.830533,0,-1.04533e-10,-0.0268079,
1.20013e+07,0,0.0016326,0.505099,0,-0.927665,-1.18761,1.5708,2.13168,-0.659925,0,0.366547,-0.38219,0,-2.35621,-0.427094,0,1.5708,0.83053,0,-1.04592e-10,-0.0268062,
1.30007e+07,0,0.0016326,0.505096,0,-0.927665,-1.1872,1.5708,2.13168,-0.66027,0,0.366547,-0.381991,0,-2.35621,-0.427023,0,1.5708,0.830527,0,-1.04642e-10,-0.0268046,
1.30007e+07,0,0.0016326,0.505092,0,-0.927665,-1.18679,1.5708,2.13168,-0.660615,0,0.366547,-0.381792,0,-2.35621,-0.426952,0,1.5708,0.830523,0,-1.04642e-10,-0.026803,
1.30007e+07,0,0.0016326,0.505089,0,-0.927665,-1.18648,1.5708,2.13168,-0.660873,0,0.366547,-0.381643,0,-2.35621,-0.426898,0,1.5708,0.830521,0,-1.04642e-10,-0.0268017,
1.30007e+07,0,0.0016326,0.505086,0,-0.927665,-1.18607,1.5708,2.13168,-0.661218,0,0.366547,-0.381444,0,-2.35621,-0.426827,0,1.5708,0.830518,0,-1.04642e-10,-0.0268001,
1.30007e+07,0,0.0016326,0.505081,0,-0.927665,-1.18556,1.5708,2.13168,-0.661649,0,0.366547,-0.381195,0,-2.35621,-0.426739,0,1.5708,0.830514,0,-1.04642e-10,-0.026798,
1.30007e+07,0,0.0016326,0.505078,0,-0.927665,-1.18515,1.5708,2.13168,-0.661994,0,0.366547,-0.380996,0,-2.35621,-0.426668,0,1.5708,0.830511,0,-1.04642e-10,-0.0267964,
1.40001e+07,0,0.0016326,0.505075,0,-0.927665,-1.18484,1.5708,2.13168,-0.662252,0,0.366547,-0.380847,0,-2.35621,-0.426615,0,1.5708,0.830509,0,-1.04689e-10,-0.0267952,
1.40001e+07,0,0.0016326,0.505075,0,-0.927665,-1.18484,1.5708,2.13168,-0.662252,0,0.366547,-0.380847,0,-2.35621,-0.426615,0,1.5708,0.830509,0,-1.04689e-10,-0.0267952,
1.40001e+07,0,0.0016326,0.505073,0,-0.927665,-1.18463,1.5708,2.13168,-0.662425,0,0.366547,-0.380748,0,-2.35621,-0.426579,0,1.5708,0.830507,0,-1.04689e-10,-0.0267944,
1.40001e+07,0,0.0016326,0.505073,0,-0.927665,-1.18463,1.5708,2.13168,-0.662425,0,0.366547,-0.380748,0,-2.35621,-0.426579,0,1.5708,0.830507,0,-1.04689e-10,-0.0267944,
1.40001e+07,0,0.0016326,0.505071,0,-0.927665,-1.18443,1.5708,2.13168,-0.662597,0,0.366547,-0.380648,0,-2.35621,-0.426544,0,1.5708,0.830506,0,-1.04689e-10,-0.0267935,
1.40001e+07,0,0.0016326,0.505071,0,-0.927665,-1.18443,1.5708,2.13168,-0.662597,0,0.366547,-0.380648,0,-2.35621,-0.426544,0,1.5708,0.830506,0,-1.04689e-10,-0.0267935,
1.40001e+07,0,0.0016326,0.505071,0,-0.927665,-1.18443,1.5708,2.13168,-0.662597,0,0.366547,-0.380648,0,-2.35621,-0.426544,0,1.5708,0.830506,0,-1.04689e-10,-0.0267935,
1.40001e+07,0,0.0016326,0.505069,0,-0.927665,-1.18412,1.5708,2.13168,-0.662855,0,0.366547,-0.380499,0,-2.35621,-0.426491,0,1.5708,0.830503,0,-1.04689e-10,-0.0267923,
1.40001e+07,0,0.0016326,0.505069,0,-0.927665,-1.18412,1.5708,2.13168,-0.662855,0,0.366547,-0.380499,0,-2.35621,-0.426491,0,1.5708,0.830503,0,-1.04689e-10,-0.0267923,
1.40001e+07,0,0.0016326,0.505067,0,-0.927665,-1.18391,1.5708,2.13168,-0.663028,0,0.366547,-0.380399,0,-2.35621,-0.426455,0,1.5708,0.830502,0,-1.04689e-10,-0.0267915,
1.40001e+07,0,0.0016326,0.505067,0,-0.927665,-1.18391,1.5708,2.13168,-0.663028,0,0.366547,-0.380399,0,-2.35621,-0.426455,0,1.5708,0.830502,0,-1.04931e-10,-0.0267915,
1.49996e+07,0,0.0016326,0.505061,0,-0.927665,-1.1832,1.5708,2.13168,-0.663631,0,0.366547,-0.380051,0,-2.35621,-0.426331,0,1.5708,0.830496,0,-1.04931e-10,-0.0267886,
1.49996e+07,0,0.0016326,0.50506,0,-0.927665,-1.18309,1.5708,2.13168,-0.663717,0,0.366547,-0.380002,0,-2.35621,-0.426313,0,1.5708,0.830496,0,-1.04931e-10,-0.0267882,
1.49996e+07,0,0.0016326,0.505059,0,-0.927665,-1.18299,1.5708,2.13168,-0.663804,0,0.366547,-0.379952,0,-2.35621,-0.426296,0,1.5708,0.830495,0,-1.04931e-10,-0.0267878,
1.49996e+07,0,0.0016326,0.505057,0,-0.927665,-1.18278,1.5708,2.13168,-0.663976,0,0.366547,-0.379852,0,-2.35621,-0.42626,0,1.5708,0.830493,0,-1.04931e-10,-0.026787,
1.49996e+07,0,0.0016326,0.505054,0,-0.927665,-1.18237,1.5708,2.13168,-0.664321,0,0.366547,-0.379653,0,-2.35621,-0.426189,0,1.5708,0.83049,0,-1.04931e-10,-0.0267853,
1.49996e+07,0,0.0016326,0.505049,0,-0.927665,-1.18186,1.5708,2.13168,-0.664752,0,0.366547,-0.379405,0,-2.35621,-0.4261,0,1.5708,0.830486,0,-1.04931e-10,-0.0267833,
1.60031e+07,0,0.0016326,0.505045,0,-0.927665,-1.18135,1.5708,2.13168,-0.665183,0,0.366547,-0.379156,0,-2.35621,-0.426012,0,1.5708,0.830482,0,-1.05062e-10,-0.0267812,
