time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,0.233208,-1.6221,0,-0.998706,8.9304,1.5708,2.34016,9.15316,0,0.227958,6.12293,0,2.35621,-0.0727935,0,1.5708,0.0307817,0,-2.92186e-10,-0.452898,
999424,0,0.233208,-1.62215,0,-0.998706,8.93179,1.5708,2.34016,9.15565,0,0.227958,6.12453,0,2.35621,-0.0725647,0,1.5708,0.0307786,0,-2.92608e-10,-0.452898,
1.99885e+06,0,0.233208,-1.6222,0,-0.998706,8.93239,1.5708,2.34016,9.15814,0,0.227958,6.12612,0,2.35621,-0.0723359,0,1.5708,0.0307755,0,-2.93416e-10,-0.452897,
2.99827e+06,0,0.233208,-1.62226,0,-0.998706,8.93367,1.5708,2.34016,9.16063,0,0.227958,6.12771,0,2.35621,-0.0721071,0,1.5708,0.0307723,0,-2.92378e-10,-0.452897,
2.99827e+06,0,0.233208,-1.62231,0,-0.998706,8.9342,1.5708,2.34016,9.16312,0,0.227958,6.12931,0,2.35621,-0.0718782,0,1.5708,0.0307692,0,-2.92378e-10,-0.452896,
3.9977e+06,0,0.233208,-1.62236,0,-0.998706,8.93501,1.5708,2.34016,9.16561,0,0.227958,6.1309,0,2.35621,-0.0716494,0,1.5708,0.0307661,0,-2.9291e-10,-0.452896,
4.99712e+06,0,0.233208,-1.62241,0,-0.998706,8.9358,1.5708,2.34016,9.1681,0,0.227958,6.1325,0,2.35621,-0.0714206,0,1.5708,0.030763,0,-2.94262e-10,-0.452895,
6.00064e+06,0,0.233208,-1.62246,0,-0.998706,8.93676,1.5708,2.34016,9.17059,0,0.227958,6.13409,0,2.35621,-0.0711918,0,1.5708,0.0307598,0,-2.92782e-10,-0.452895,
7.00006e+06,0,0.233208,-1.62251,0,-0.998706,8.93776,1.5708,2.34016,9.17308,0,0.227958,6.13569,0,2.35621,-0.070963,0,1.5708,0.0307567,0,-2.92731e-10,-0.452894,
7.99949e+06,0,0.233208,-1.62257,0,-0.998706,8.93874,1.5708,2.34016,9.17557,0,0.227958,6.13728,0,2.35621,-0.0707341,0,1.5708,0.0307536,0,-2.9352e-10,-0.452894,
8.99891e+06,0,0.233208,-1.62262,0,-0.998706,8.93973,1.5708,2.34016,9.17807,0,0.227958,6.13888,0,2.35621,-0.0705053,0,1.5708,0.0307504,0,-2.92687e-10,-0.452893,
9.99834e+06,0,0.233208,-1.62267,0,-0.998706,8.94072,1.5708,2.34016,9.18056,0,0.227958,6.14047,0,2.35621,-0.0702765,0,1.5708,0.0307473,0,-2.94369e-10,-0.452893,
9.99834e+06,0,0.233208,-1.62272,0,-0.998706,8.94171,1.5708,2.34016,9.18305,0,0.227958,6.14207,0,2.35621,-0.0700477,0,1.5708,0.0307442,0,-2.94369e-10,-0.452893,
