time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,-0.000292351,0.311532,-1.00562,-1.00368,0.318678,2.3654,2.36505,-0.0103738,0.210862,0.209958,-0.0752542,0,0.000378896,-0.362241,0,0.000168092,0.350315,0,-3.09342e-10,0,
1.00019e+06,0,-0.000276188,0.285802,-1.00562,-1.00291,-1.03117,2.3654,2.36502,0.0489358,0.210862,0.209285,0.662638,0,0.000378896,-0.36406,0,0.000168092,0.349508,0,1.52974e-10,0,
2.00013e+06,0,-0.000276188,0.297239,-1.00562,-1.00227,-1.93352,2.3654,2.36494,0.289883,0.210862,0.208886,0.840614,0,0.000378896,-0.365878,0,0.000168092,0.348701,0,-5.94524e-12,0,
3.00006e+06,0,-0.000276188,0.299525,-1.00562,-1.00187,-2.28982,2.3654,2.3648,0.809456,0.210862,0.208886,0.105903,0,0.000378896,-0.367697,0,0.000168092,0.347895,0,-2.35239e-10,0,
3.00006e+06,0,-0.000276188,0.300432,-1.00562,-1.00187,-0.498397,2.3654,2.3648,0.231582,0.210862,0.208886,0.00021714,0,0.000378896,-0.369516,0,0.000168092,0.347088,0,-2.35239e-10,0,
4e+06,0,-0.000276188,0.301132,-1.00562,-1.00165,-0.954775,2.3654,2.36474,0.328336,0.210862,0.208886,-0.0106434,0,0.000378896,-0.371334,0,0.000168092,0.346281,0,-1.1289e-10,0,
4e+06,0,-0.000276188,0.3018,-1.00562,-1.00165,-0.420502,2.3654,2.36474,0.188232,0.210862,0.208886,-0.00720948,0,0.000378896,-0.373153,0,0.000168092,0.345474,0,-1.1289e-10,0,
4.99994e+06,0,-0.000276188,0.302464,-1.00562,-1.00159,-0.498591,2.3654,2.36474,0.16982,0.210862,0.208886,-0.00156635,0,0.000378896,-0.374972,0,0.000168092,0.344667,0,-6.16577e-11,0,
4.99994e+06,0,-0.000276188,0.303127,-1.00562,-1.00159,-0.41068,2.3654,2.36474,0.169743,0.210862,0.208886,0.00447226,0,0.000378896,-0.376791,0,0.000168092,0.343861,0,-6.16577e-11,0,
6.00013e+06,0,-0.00028723,0.312646,-1.00562,-1.00159,-0.413965,2.3654,2.36475,0.158644,0.210862,0.208886,0.0105361,0,0.000378896,-0.378609,0,0.000168092,0.343054,0,1.58691e-10,0,
7.00006e+06,0,-0.00028723,0.308228,-1.00562,-1.00162,-0.280819,2.3654,2.36478,0.00965521,0.210862,0.208886,0.0166548,0,0.000378896,-0.380428,0,0.000168092,0.342247,0,-3.07343e-10,0,
7.00006e+06,0,-0.00028723,0.308147,-1.00562,-1.00162,-0.413581,2.3654,2.36478,0.13705,0.210862,0.208886,0.0228027,0,0.000378896,-0.382247,0,0.000168092,0.34144,0,-3.07343e-10,0,
8e+06,0,-0.00028723,0.308721,-1.00562,-1.00167,-0.367659,2.3654,2.36483,0.0805831,0.210862,0.208886,0.0289651,0,0.000378896,-0.384065,0,0.000168092,0.340633,0,-2.37767e-10,0,
9.00019e+06,0,-0.00028723,0.309393,-1.00562,-1.00178,0.103459,2.3654,2.3649,-0.236963,0.210862,0.208886,0.0351608,0,0.000378896,-0.385884,0,0.000168092,0.339827,0,-2.38164e-10,0,
9.00019e+06,0,-0.00028723,0.310079,-1.00562,-1.00178,-0.333885,2.3654,2.3649,0.0518357,0.210862,0.208886,0.0413638,0,0.000378896,-0.387703,0,0.000168092,0.33902,0,-2.38164e-10,0,
1.00001e+07,0,-0.00028723,0.310768,-1.00562,-1.00192,-0.190181,2.3654,2.365,-0.0513414,0.210862,0.208886,0.0475795,0,0.000378896,-0.389521,0,0.000168092,0.338213,0,-1.91928e-10,0,
1.10001e+07,0,-0.000296683,0.335169,-1.00562,-1.00199,0.0177313,2.3654,2.36506,-0.271596,0.210862,0.208886,0.053805,0,0.000378896,-0.39134,0,0.000196523,0.194786,0,-4.11189e-10,0,
1.10001e+07,0,-0.000296683,0.317794,-1.00562,-1.00199,-0.299533,2.3654,2.36506,-0.0163902,0.210862,0.208886,0.0600379,0,0.000378896,-0.393159,0,0.000196523,0.302632,0,-4.11189e-10,0,
1.2e+07,0,-0.000325117,0.36297,-1.00562,-1.00218,0.261926,2.3654,2.36517,-0.338639,0.210862,0.208886,0.0662978,0,0.000378896,-0.394978,0,0.000196523,0.318079,0,1.67544e-10,0,
1.2e+07,0,-0.000325117,0.332934,-1.00562,-1.00218,-0.156496,2.3654,2.36517,-0.100129,0.210862,0.208886,0.0709981,0,0.000378896,-0.396342,0,0.000196523,0.319575,0,1.67544e-10,0,
