time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,-0.231754,0.439675,0,-0.661122,-1.69322,1.5708,2.24911,-0.851511,0,-0.0169349,-0.813574,0,3.14159,1.16245,0,1.5708,0.14839,0,4.82887e-10,0.307061,
0,0,-0.231754,0.438898,0,-0.661122,-1.69326,1.5708,2.24911,-0.852343,0,-0.0169349,-0.813798,0,3.14159,1.16244,0,1.5708,0.148387,0,4.82887e-10,0.307062,
999424,0,-0.231754,0.437926,0,-0.661122,-1.6933,1.5708,2.24911,-0.853377,0,-0.0169349,-0.814079,0,3.14159,1.16244,0,1.5708,0.148383,0,4.8273e-10,0.307063,
1.99885e+06,0,-0.231754,0.437149,0,-0.661122,-1.69333,1.5708,2.24911,-0.854193,0,-0.0169349,-0.814304,0,3.14159,1.16243,0,1.5708,0.14838,0,4.82719e-10,0.307063,
2.99827e+06,0,-0.231754,0.436372,0,-0.661122,-1.69337,1.5708,2.24911,-0.85501,0,-0.0169349,-0.814529,0,3.14159,1.16242,0,1.5708,0.148377,0,4.82608e-10,0.307064,
3.9977e+06,0,-0.231754,0.435595,0,-0.661122,-1.6934,1.5708,2.24911,-0.855827,0,-0.0169349,-0.814754,0,3.14159,1.16242,0,1.5708,0.148374,0,4.82754e-10,0.307065,
4.99712e+06,0,-0.231754,0.434817,0,-0.661122,-1.69343,1.5708,2.24911,-0.856643,0,-0.0169349,-0.814979,0,3.14159,1.16241,0,1.5708,0.148371,0,4.81859e-10,0.307065,
5.99654e+06,0,-0.231754,0.43404,0,-0.661122,-1.69347,1.5708,2.24911,-0.85746,0,-0.0169349,-0.815204,0,3.14159,1.16241,0,1.5708,0.148368,0,4.81724e-10,0.307066,
7.00006e+06,0,-0.231754,0.433263,0,-0.661122,-1.6935,1.5708,2.24911,-0.858276,0,-0.0169349,-0.815428,0,3.14159,1.1624,0,1.5708,0.148365,0,4.81886e-10,0.307067,
7.99949e+06,0,-0.231754,0.432486,0,-0.661122,-1.69354,1.5708,2.24911,-0.859093,0,-0.0169349,-0.815653,0,3.14159,1.16239,0,1.5708,0.148361,0,4.81907e-10,0.307068,
8.99891e+06,0,-0.231754,0.431709,0,-0.661122,-1.69357,1.5708,2.24911,-0.859909,0,-0.0169349,-0.815878,0,3.14159,1.16239,0,1.5708,0.148358,0,4.82028e-10,0.307068,
9.99834e+06,0,-0.231754,0.430931,0,-0.661122,-1.6936,1.5708,2.24911,-0.860725,0,-0.0169349,-0.816103,0,3.14159,1.16238,0,1.5708,0.148355,0,4.81913e-10,0.307069,
1.09978e+07,0,-0.231754,0.430154,0,-0.661122,-1.69364,1.5708,2.24911,-0.861538,0,-0.0169349,-0.816328,0,3.14159,1.16238,0,1.5708,0.148352,0,4.81979e-10,0.30707,
1.19972e+07,0,-0.231754,0.429377,0,-0.661122,-1.69367,1.5708,2.24911,-0.862353,0,-0.0169349,-0.816552,0,3.14159,1.16237,0,1.5708,0.148349,0,4.82076e-10,0.30707,
