time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,-0.00375203,-0.203715,0,-0.608465,1.96273,1.5708,2.47208,-3.85033,0,-0.293123,0.988098,0,3.14159,2.45631,0,1.5708,-0.138836,0,-4.31766e-10,-0.339067,
0,0,-0.00375203,-0.203092,0,-0.608465,1.96309,1.5708,2.47208,-3.84968,0,-0.293123,0.988454,0,3.14159,2.45631,0,1.5708,-0.13884,0,-4.31766e-10,-0.339067,
0,0,-0.00375203,-0.202593,0,-0.608465,1.96351,1.5708,2.47208,-3.84916,0,-0.293123,0.98874,0,3.14159,2.4563,0,1.5708,-0.138843,0,-4.31766e-10,-0.339068,
0,0,-0.00375203,-0.202095,0,-0.608465,1.96397,1.5708,2.47208,-3.84864,0,-0.293123,0.989025,0,3.14159,2.45629,0,1.5708,-0.138846,0,-4.31766e-10,-0.339069,
999424,0,-0.00375203,-0.201597,0,-0.608465,1.9648,1.5708,2.47208,-3.84811,0,-0.293123,0.989311,0,3.14159,2.45629,0,1.5708,-0.138849,0,-4.32785e-10,-0.339069,
1.99885e+06,0,-0.00375203,-0.201098,0,-0.608465,1.96513,1.5708,2.47208,-3.84759,0,-0.293123,0.989596,0,3.14159,2.45628,0,1.5708,-0.138852,0,-4.33681e-10,-0.33907,
2.99827e+06,0,-0.00375203,-0.2006,0,-0.608465,1.96587,1.5708,2.47208,-3.84707,0,-0.293123,0.989881,0,3.14159,2.45627,0,1.5708,-0.138856,0,-4.33681e-10,-0.33907,
3.9977e+06,0,-0.00375203,-0.200101,0,-0.608465,1.96619,1.5708,2.47208,-3.84655,0,-0.293123,0.990167,0,3.14159,2.45627,0,1.5708,-0.138859,0,-4.33753e-10,-0.339071,
5.99654e+06,0,-0.00375203,-0.199603,0,-0.608465,1.96639,1.5708,2.47208,-3.84603,0,-0.293123,0.990452,0,3.14159,2.45626,0,1.5708,-0.138862,0,-4.33881e-10,-0.339072,
7.00006e+06,0,-0.00375203,-0.199104,0,-0.608465,1.9671,1.5708,2.47208,-3.84551,0,-0.293123,0.990738,0,3.14159,2.45625,0,1.5708,-0.138865,0,-4.34121e-10,-0.339072,
7.00006e+06,0,-0.00375203,-0.198606,0,-0.608465,1.96742,1.5708,2.47208,-3.84498,0,-0.293123,0.991023,0,3.14159,2.45625,0,1.5708,-0.138868,0,-4.34305e-10,-0.339073,
8.99891e+06,0,-0.00375203,-0.198107,0,-0.608465,1.96815,1.5708,2.47208,-3.84446,0,-0.293123,0.991308,0,3.14159,2.45624,0,1.5708,-0.138871,0,-4.34486e-10,-0.339073,
9.99834e+06,0,-0.00375203,-0.197609,0,-0.608465,1.96863,1.5708,2.47208,-3.84394,0,-0.293123,0.991594,0,3.14159,2.45623,0,1.5708,-0.138874,0,-4.34662e-10,-0.339074,
1.09978e+07,0,-0.00375203,-0.19711,0,-0.608465,1.96939,1.5708,2.47208,-3.84342,0,-0.293123,0.991879,0,3.14159,2.45623,0,1.5708,-0.138877,0,-4.34864e-10,-0.339075,
1.19972e+07,0,-0.00375203,-0.196612,0,-0.608465,1.96965,1.5708,2.47208,-3.8429,0,-0.293123,0.992165,0,3.14159,2.45622,0,1.5708,-0.13888,0,-4.35033e-10,-0.339075,
1.29966e+07,0,-0.00375203,-0.196114,0,-0.608465,1.97044,1.5708,2.47208,-3.84238,0,-0.293123,0.99245,0,3.14159,2.45621,0,1.5708,-0.138883,0,-4.3527e-10,-0.339076,
1.40001e+07,0,-0.00375203,-0.195615,0,-0.608465,1.9708,1.5708,2.47208,-3.84185,0,-0.293123,0.992736,0,3.14159,2.45621,0,1.5708,-0.138887,0,-4.35391e-10,-0.339076,
1.49996e+07,0,-0.00375203,-0.195117,0,-0.608465,1.97134,1.5708,2.47208,-3.84133,0,-0.293123,0.993021,0,3.14159,2.4562,0,1.5708,-0.13889,0,-4.35642e-10,-0.339077,
1.5999e+07,0,-0.00375203,-0.194618,0,-0.608465,1.97184,1.5708,2.47208,-3.84081,0,-0.293123,0.993306,0,3.14159,2.45619,0,1.5708,-0.138893,0,-4.35455e-10,-0.339078,
1.69984e+07,0,-0.00375203,-0.19412,0,-0.608465,1.9724,1.5708,2.47208,-3.84029,0,-0.293123,0.993592,0,3.14159,2.45619,0,1.5708,-0.138896,0,-4.35605e-10,-0.339078,
1.79978e+07,0,-0.00375203,-0.193621,0,-0.608465,1.97263,1.5708,2.47208,-3.83977,0,-0.293123,0.993877,0,3.14159,2.45618,0,1.5708,-0.138899,0,-4.35711e-10,-0.339079,
1.89972e+07,0,-0.00375203,-0.193123,0,-0.608465,1.97308,1.5708,2.47208,-3.83925,0,-0.293123,0.994162,0,3.14159,2.45617,0,1.5708,-0.138902,0,-4.35945e-10,-0.339079,
1.99967e+07,0,-0.00375203,-0.192624,0,-0.608465,1.97363,1.5708,2.47208,-3.83872,0,-0.293123,0.994448,0,3.14159,2.45617,0,1.5708,-0.138905,0,-4.36206e-10,-0.33908,
2.10002e+07,0,-0.00375203,-0.192126,0,-0.608466,1.97418,1.5708,2.47208,-3.8382,0,-0.293123,0.994733,0,3.14159,2.45616,0,1.5708,-0.138908,0,-4.36389e-10,-0.339081,
2.19996e+07,0,-0.00375203,-0.191627,0,-0.608466,1.97458,1.5708,2.47208,-3.83768,0,-0.293123,0.995019,0,3.14159,2.45615,0,1.5708,-0.138911,0,-4.36568e-10,-0.339081,
2.2999e+07,0,-0.00375203,-0.191129,0,-0.608466,1.97523,1.5708,2.47208,-3.83716,0,-0.293123,0.995304,0,3.14159,2.45615,0,1.5708,-0.138914,0,-4.3673e-10,-0.339082,
2.39985e+07,0,-0.00375203,-0.19063,0,-0.608466,1.97564,1.5708,2.47208,-3.83664,0,-0.293123,0.995589,0,3.14159,2.45614,0,1.5708,-0.138918,0,-4.36936e-10,-0.339082,
2.49979e+07,0,-0.00375203,-0.190132,0,-0.608466,1.97629,1.5708,2.47208,-3.83612,0,-0.293123,0.995875,0,3.14159,2.45613,0,1.5708,-0.138921,0,-4.37089e-10,-0.339083,
2.59973e+07,0,-0.00375203,-0.189633,0,-0.608466,1.97671,1.5708,2.47208,-3.83559,0,-0.293123,0.99616,0,3.14159,2.45613,0,1.5708,-0.138924,0,-4.37324e-10,-0.339084,
2.69967e+07,0,-0.00375203,-0.189259,0,-0.608466,1.9771,1.5708,2.47208,-3.8352,0,-0.293123,0.996374,0,3.14159,2.45612,0,1.5708,-0.138926,0,-4.37194e-10,-0.339084,
2.69967e+07,0,-0.00375203,-0.188761,0,-0.608466,1.97775,1.5708,2.47208,-3.83468,0,-0.293123,0.99666,0,3.14159,2.45611,0,1.5708,-0.138929,0,-4.37194e-10,-0.339085,
2.69967e+07,0,-0.00375203,-0.188138,0,-0.608466,1.97839,1.5708,2.47208,-3.83403,0,-0.293123,0.997016,0,3.14159,2.45611,0,1.5708,-0.138933,0,-4.37194e-10,-0.339085,
2.69967e+07,0,-0.00375203,-0.187639,0,-0.608466,1.97888,1.5708,2.47208,-3.83351,0,-0.293123,0.997302,0,3.14159,2.4561,0,1.5708,-0.138936,0,-4.37194e-10,-0.339086,
2.80003e+07,0,-0.00375203,-0.187266,0,-0.608466,1.97941,1.5708,2.47208,-3.83312,0,-0.293123,0.997516,0,3.14159,2.45609,0,1.5708,-0.138939,0,-4.37354e-10,-0.339086,
2.80003e+07,0,-0.00375203,-0.186767,0,-0.608466,1.97949,1.5708,2.47208,-3.83259,0,-0.293123,0.997801,0,3.14159,2.45609,0,1.5708,-0.138942,0,-4.37354e-10,-0.339087,
2.80003e+07,0,-0.00375203,-0.186144,0,-0.608466,1.98003,1.5708,2.47208,-3.83194,0,-0.293123,0.998158,0,3.14159,2.45608,0,1.5708,-0.138945,0,-4.37354e-10,-0.339088,
2.80003e+07,0,-0.00375203,-0.185646,0,-0.608466,1.98051,1.5708,2.47208,-3.83142,0,-0.293123,0.998443,0,3.14159,2.45607,0,1.5708,-0.138949,0,-4.37354e-10,-0.339088,
2.80003e+07,0,-0.00375203,-0.185272,0,-0.608466,1.98087,1.5708,2.47208,-3.83103,0,-0.293123,0.998657,0,3.14159,2.45607,0,1.5708,-0.138951,0,-4.37354e-10,-0.339089,
2.80003e+07,0,-0.00375203,-0.184773,0,-0.608466,1.98135,1.5708,2.47208,-3.83051,0,-0.293123,0.998943,0,3.14159,2.45606,0,1.5708,-0.138954,0,-4.37354e-10,-0.339089,
2.89997e+07,0,-0.00375203,-0.184275,0,-0.608466,1.98182,1.5708,2.47208,-3.82999,0,-0.293123,0.999228,0,3.14159,2.45605,0,1.5708,-0.138957,0,-4.3796e-10,-0.33909,
2.89997e+07,0,-0.00375203,-0.183901,0,-0.608466,1.98195,1.5708,2.47208,-3.82959,0,-0.293123,0.999442,0,3.14159,2.45605,0,1.5708,-0.138959,0,-4.3796e-10,-0.33909,
2.89997e+07,0,-0.00375203,-0.183278,0,-0.608466,1.98249,1.5708,2.47208,-3.82894,0,-0.293123,0.999799,0,3.14159,2.45604,0,1.5708,-0.138963,0,-4.3796e-10,-0.339091,
2.89997e+07,0,-0.00375203,-0.182779,0,-0.608466,1.98296,1.5708,2.47208,-3.82842,0,-0.293123,1.00008,0,3.14159,2.45603,0,1.5708,-0.138966,0,-4.3796e-10,-0.339092,
2.89997e+07,0,-0.00375203,-0.182281,0,-0.608466,1.98344,1.5708,2.47208,-3.8279,0,-0.293123,1.00037,0,3.14159,2.45603,0,1.5708,-0.138969,0,-4.3796e-10,-0.339092,
2.89997e+07,0,-0.00375203,-0.181782,0,-0.608466,1.98392,1.5708,2.47208,-3.82738,0,-0.293123,1.00066,0,3.14159,2.45602,0,1.5708,-0.138973,0,-4.3796e-10,-0.339093,
2.89997e+07,0,-0.00375203,-0.181159,0,-0.608466,1.98452,1.5708,2.47208,-3.82673,0,-0.293123,1.00101,0,3.14159,2.45601,0,1.5708,-0.138976,0,-4.3796e-10,-0.339094,
2.89997e+07,0,-0.00375203,-0.18091,0,-0.608466,1.98476,1.5708,2.47208,-3.82646,0,-0.293123,1.00115,0,3.14159,2.45601,0,1.5708,-0.138978,0,-4.3796e-10,-0.339094,
2.99991e+07,0,-0.00375203,-0.180287,0,-0.608466,1.98571,1.5708,2.47208,-3.82581,0,-0.293123,1.00151,0,3.14159,2.456,0,1.5708,-0.138982,0,-4.38966e-10,-0.339095,
2.99991e+07,0,-0.00375203,-0.179664,0,-0.608466,1.98637,1.5708,2.47208,-3.82516,0,-0.293123,1.00187,0,3.14159,2.45599,0,1.5708,-0.138986,0,-4.38966e-10,-0.339095,
2.99991e+07,0,-0.00375203,-0.17929,0,-0.608466,1.98673,1.5708,2.47208,-3.82477,0,-0.293123,1.00208,0,3.14159,2.45599,0,1.5708,-0.138988,0,-4.38966e-10,-0.339096,
2.99991e+07,0,-0.00375203,-0.178792,0,-0.608466,1.98722,1.5708,2.47208,-3.82425,0,-0.293123,1.00237,0,3.14159,2.45598,0,1.5708,-0.138991,0,-4.38966e-10,-0.339097,
2.99991e+07,0,-0.00375203,-0.178293,0,-0.608466,1.9877,1.5708,2.47208,-3.82373,0,-0.293123,1.00265,0,3.14159,2.45597,0,1.5708,-0.138994,0,-4.38966e-10,-0.339097,
3.09985e+07,0,-0.00375203,-0.177795,0,-0.608466,1.98835,1.5708,2.47208,-3.8232,0,-0.293123,1.00294,0,3.14159,2.45597,0,1.5708,-0.138997,0,-4.4016e-10,-0.339098,
3.09985e+07,0,-0.00375203,-0.177171,0,-0.608466,1.98852,1.5708,2.47208,-3.82255,0,-0.293123,1.0033,0,3.14159,2.45596,0,1.5708,-0.139001,0,-4.4016e-10,-0.339098,
3.09985e+07,0,-0.00375203,-0.176798,0,-0.608466,1.98885,1.5708,2.47208,-3.82216,0,-0.293123,1.00351,0,3.14159,2.45595,0,1.5708,-0.139004,0,-4.4016e-10,-0.339099,
3.09985e+07,0,-0.00375203,-0.176299,0,-0.608466,1.98932,1.5708,2.47208,-3.82164,0,-0.293123,1.00379,0,3.14159,2.45595,0,1.5708,-0.139007,0,-4.4016e-10,-0.339099,
3.1998e+07,0,-0.00375203,-0.175676,0,-0.608466,1.99018,1.5708,2.47208,-3.82099,0,-0.293123,1.00415,0,3.14159,2.45594,0,1.5708,-0.139011,0,-4.40961e-10,-0.3391,
3.29974e+07,0,-0.00375203,-0.175178,0,-0.608466,1.99077,1.5708,2.47208,-3.82047,0,-0.293123,1.00444,0,3.14159,2.45593,0,1.5708,-0.139014,0,-4.41503e-10,-0.339101,
3.39968e+07,0,-0.00375203,-0.174679,0,-0.608466,1.99128,1.5708,2.47208,-3.81994,0,-0.293123,1.00472,0,3.14159,2.45593,0,1.5708,-0.139017,0,-4.41515e-10,-0.339101,
3.49962e+07,0,-0.00375203,-0.174181,0,-0.608466,1.99173,1.5708,2.47208,-3.81942,0,-0.293123,1.00501,0,3.14159,2.45592,0,1.5708,-0.13902,0,-4.41598e-10,-0.339102,
3.59997e+07,0,-0.00375203,-0.173682,0,-0.608466,1.99238,1.5708,2.47208,-3.8189,0,-0.293123,1.00529,0,3.14159,2.45591,0,1.5708,-0.139023,0,-4.41897e-10,-0.339103,
3.69992e+07,0,-0.00375203,-0.173184,0,-0.608466,1.9928,1.5708,2.47208,-3.81838,0,-0.293123,1.00558,0,3.14159,2.45591,0,1.5708,-0.139026,0,-4.4203e-10,-0.339103,
3.79986e+07,0,-0.00375203,-0.172685,0,-0.608466,1.99339,1.5708,2.47208,-3.81786,0,-0.293123,1.00586,0,3.14159,2.4559,0,1.5708,-0.139029,0,-4.42144e-10,-0.339104,
3.8998e+07,0,-0.00375203,-0.172187,0,-0.608466,1.99385,1.5708,2.47208,-3.81734,0,-0.293123,1.00615,0,3.14159,2.45589,0,1.5708,-0.139032,0,-4.42229e-10,-0.339104,
3.99974e+07,0,-0.00375203,-0.171688,0,-0.608466,1.99407,1.5708,2.47208,-3.81681,0,-0.293123,1.00643,0,3.14159,2.45589,0,1.5708,-0.139035,0,-4.42373e-10,-0.339105,
4.09969e+07,0,-0.00375203,-0.17119,0,-0.608466,1.99463,1.5708,2.47208,-3.81629,0,-0.293123,1.00672,0,3.14159,2.45588,0,1.5708,-0.139038,0,-4.42488e-10,-0.339106,
4.19963e+07,0,-0.00375203,-0.170691,0,-0.608466,1.99537,1.5708,2.47208,-3.81577,0,-0.293123,1.00701,0,3.14159,2.45587,0,1.5708,-0.139042,0,-4.4263e-10,-0.339106,
4.29998e+07,0,-0.00375203,-0.170193,0,-0.608466,1.99563,1.5708,2.47208,-3.81525,0,-0.293123,1.00729,0,3.14159,2.45587,0,1.5708,-0.139045,0,-4.42756e-10,-0.339107,
4.39992e+07,0,-0.00375203,-0.169694,0,-0.608466,1.99643,1.5708,2.47208,-3.81473,0,-0.293123,1.00758,0,3.14159,2.45586,0,1.5708,-0.139048,0,-4.42913e-10,-0.339107,
4.49987e+07,0,-0.00375203,-0.169196,0,-0.608466,1.99653,1.5708,2.47208,-3.81421,0,-0.293123,1.00786,0,3.14159,2.45585,0,1.5708,-0.139051,0,-4.42986e-10,-0.339108,
