time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,0.00186609,0.135462,0,-0.645287,3.18777,1.5708,2.05588,-3.2349,0,0.159897,-0.428919,0,3.14159,0.434981,0,1.5708,0.0757763,0,-1.60053e-10,0.0795318,
999424,0,0.00186609,0.13623,0,-0.645287,3.18804,1.5708,2.05588,-3.23564,0,0.159897,-0.428587,0,3.14159,0.434974,0,1.5708,0.0757731,0,-1.60053e-10,0.07953,
1.99885e+06,0,0.00186609,0.136999,0,-0.645287,3.18832,1.5708,2.05588,-3.23559,0,0.159897,-0.428254,0,3.14159,0.434968,0,1.5708,0.07577,0,-1.59351e-10,0.0795283,
3.9977e+06,0,0.00186609,0.13796,0,-0.645287,3.18866,1.5708,2.05588,-3.23442,0,0.159897,-0.427838,0,3.14159,0.43496,0,1.5708,0.0757661,0,-1.59145e-10,0.0795261,
5.00122e+06,0,0.00186609,0.138728,0,-0.645287,3.18893,1.5708,2.05588,-3.23342,0,0.159897,-0.427506,0,3.14159,0.434954,0,1.5708,0.075763,0,-1.59121e-10,0.0795244,
6.00064e+06,0,0.00186609,0.139497,0,-0.645287,3.1892,1.5708,2.05588,-3.23242,0,0.159897,-0.427173,0,3.14159,0.434948,0,1.5708,0.0757599,0,-1.59007e-10,0.0795227,
7.00006e+06,0,0.00186609,0.140265,0,-0.645287,3.18947,1.5708,2.05588,-3.23141,0,0.159897,-0.42684,0,3.14159,0.434942,0,1.5708,0.0757567,0,-1.5899e-10,0.079521,
7.99949e+06,0,0.00186609,0.141034,0,-0.645287,3.18975,1.5708,2.05588,-3.2304,0,0.159897,-0.426508,0,3.14159,0.434936,0,1.5708,0.0757536,0,-1.58762e-10,0.0795192,
8.99891e+06,0,0.00186609,0.141802,0,-0.645287,3.19002,1.5708,2.05588,-3.22939,0,0.159897,-0.426175,0,3.14159,0.434929,0,1.5708,0.0757505,0,-1.58678e-10,0.0795175,
9.99834e+06,0,0.00186609,0.142571,0,-0.645287,3.19029,1.5708,2.05588,-3.22838,0,0.159897,-0.425843,0,3.14159,0.434923,0,1.5708,0.0757473,0,-1.58644e-10,0.0795158,
1.09978e+07,0,0.00186609,0.143339,0,-0.645287,3.19057,1.5708,2.05588,-3.2273,0,0.159897,-0.42551,0,3.14159,0.434917,0,1.5708,0.0757442,0,-1.58617e-10,0.079514,
1.20013e+07,0,0.00186609,0.144108,0,-0.645287,3.19084,1.5708,2.05588,-3.22735,0,0.159897,-0.425177,0,3.14159,0.434911,0,1.5708,0.0757411,0,-1.584e-10,0.0795123,
1.30007e+07,0,0.00186609,0.144877,0,-0.645287,3.19111,1.5708,2.05588,-3.22786,0,0.159897,-0.424845,0,3.14159,0.434905,0,1.5708,0.0757379,0,-1.58397e-10,0.0795106,
1.40001e+07,0,0.00186609,0.145645,0,-0.645287,3.19138,1.5708,2.05588,-3.22709,0,0.159897,-0.424512,0,3.14159,0.434898,0,1.5708,0.0757348,0,-1.57792e-10,0.0795089,
1.49996e+07,0,0.00186609,0.146414,0,-0.645287,3.19166,1.5708,2.05588,-3.22608,0,0.159897,-0.42418,0,3.14159,0.434892,0,1.5708,0.0757317,0,-1.57625e-10,0.0795071,
1.5999e+07,0,0.00186609,0.147182,0,-0.645287,3.19193,1.5708,2.05588,-3.22508,0,0.159897,-0.423847,0,3.14159,0.434886,0,1.5708,0.0757286,0,-1.57386e-10,0.0795054,
1.69984e+07,0,0.00186609,0.147951,0,-0.645287,3.1922,1.5708,2.05588,-3.22407,0,0.159897,-0.423514,0,3.14159,0.43488,0,1.5708,0.0757254,0,-1.57353e-10,0.0795037,
1.79978e+07,0,0.00186609,0.148719,0,-0.645287,3.19248,1.5708,2.05588,-3.22307,0,0.159897,-0.423182,0,3.14159,0.434874,0,1.5708,0.0757223,0,-1.57363e-10,0.0795019,
1.90013e+07,0,0.00186609,0.149488,0,-0.645287,3.19275,1.5708,2.05588,-3.22205,0,0.159897,-0.422849,0,3.14159,0.434867,0,1.5708,0.0757192,0,-1.57252e-10,0.0795002,
2.00008e+07,0,0.00186609,0.150256,0,-0.645287,3.19302,1.5708,2.05588,-3.22104,0,0.159897,-0.422516,0,3.14159,0.434861,0,1.5708,0.075716,0,-1.57232e-10,0.0794985,
2.10002e+07,0,0.00186609,0.151025,0,-0.645287,3.19329,1.5708,2.05588,-3.22,0,0.159897,-0.422184,0,3.14159,0.434855,0,1.5708,0.0757129,0,-1.57085e-10,0.0794968,
2.19996e+07,0,0.00186609,0.151793,0,-0.645287,3.19357,1.5708,2.05588,-3.21897,0,0.159897,-0.421851,0,3.14159,0.434849,0,1.5708,0.0757098,0,-1.57006e-10,0.079495,
2.2999e+07,0,0.00186609,0.152562,0,-0.645287,3.19384,1.5708,2.05588,-3.22013,0,0.159897,-0.421519,0,3.14159,0.434843,0,1.5708,0.0757067,0,-1.56847e-10,0.0794933,
2.39985e+07,0,0.00186609,0.15333,0,-0.645287,3.19411,1.5708,2.05588,-3.21974,0,0.159897,-0.421186,0,3.14159,0.434836,0,1.5708,0.0757035,0,-1.56819e-10,0.0794916,
2.49979e+07,0,0.00186609,0.153907,0,-0.645287,3.19432,1.5708,2.05588,-3.21905,0,0.159897,-0.420937,0,3.14159,0.434832,0,1.5708,0.0757012,0,-1.56101e-10,0.0794903,
2.49979e+07,0,0.00186609,0.154675,0,-0.645287,3.19459,1.5708,2.05588,-3.21825,0,0.159897,-0.420604,0,3.14159,0.434826,0,1.5708,0.075698,0,-1.56101e-10,0.0794886,
2.49979e+07,0,0.00186609,0.155444,0,-0.645287,3.19486,1.5708,2.05588,-3.21751,0,0.159897,-0.420271,0,3.14159,0.434819,0,1.5708,0.0756949,0,-1.56101e-10,0.0794868,
2.49979e+07,0,0.00186609,0.156213,0,-0.645287,3.19513,1.5708,2.05588,-3.21679,0,0.159897,-0.419939,0,3.14159,0.434813,0,1.5708,0.0756918,0,-1.56101e-10,0.0794851,
2.60014e+07,0,0.00186609,0.156981,0,-0.645287,3.19541,1.5708,2.05588,-3.21595,0,0.159897,-0.419606,0,3.14159,0.434807,0,1.5708,0.0756887,0,-1.5595e-10,0.0794834,
2.60014e+07,0,0.00186609,0.15775,0,-0.645287,3.19568,1.5708,2.05588,-3.21509,0,0.159897,-0.419274,0,3.14159,0.434801,0,1.5708,0.0756855,0,-1.5595e-10,0.0794816,
2.60014e+07,0,0.00186609,0.158518,0,-0.645287,3.19595,1.5708,2.05588,-3.21434,0,0.159897,-0.418941,0,3.14159,0.434795,0,1.5708,0.0756824,0,-1.5595e-10,0.0794799,
2.60014e+07,0,0.00186609,0.159287,0,-0.645287,3.19623,1.5708,2.05588,-3.21361,0,0.159897,-0.418608,0,3.14159,0.434788,0,1.5708,0.0756793,0,-1.5595e-10,0.0794782,
2.60014e+07,0,0.00186609,0.160055,0,-0.645287,3.1965,1.5708,2.05588,-3.21289,0,0.159897,-0.418276,0,3.14159,0.434782,0,1.5708,0.0756761,0,-1.5595e-10,0.0794765,
2.60014e+07,0,0.00186609,0.160824,0,-0.645287,3.19677,1.5708,2.05588,-3.21216,0,0.159897,-0.417943,0,3.14159,0.434776,0,1.5708,0.075673,0,-1.5595e-10,0.0794747,
2.70008e+07,0,0.00186609,0.161208,0,-0.645287,3.19691,1.5708,2.05588,-3.2118,0,0.159897,-0.417777,0,3.14159,0.434773,0,1.5708,0.0756714,0,-1.55277e-10,0.0794739,
2.70008e+07,0,0.00186609,0.161784,0,-0.645287,3.19711,1.5708,2.05588,-3.21104,0,0.159897,-0.417527,0,3.14159,0.434768,0,1.5708,0.0756691,0,-1.55277e-10,0.0794726,
2.70008e+07,0,0.00186609,0.162553,0,-0.645287,3.19738,1.5708,2.05588,-3.21025,0,0.159897,-0.417195,0,3.14159,0.434762,0,1.5708,0.075666,0,-1.55277e-10,0.0794708,
2.70008e+07,0,0.00186609,0.163322,0,-0.645287,3.19766,1.5708,2.05588,-3.20952,0,0.159897,-0.416862,0,3.14159,0.434756,0,1.5708,0.0756628,0,-1.55277e-10,0.0794691,
2.70008e+07,0,0.00186609,0.16409,0,-0.645287,3.19793,1.5708,2.05588,-3.20879,0,0.159897,-0.41653,0,3.14159,0.43475,0,1.5708,0.0756597,0,-1.55277e-10,0.0794674,
2.70008e+07,0,0.00186609,0.164859,0,-0.645287,3.1982,1.5708,2.05588,-3.20806,0,0.159897,-0.416197,0,3.14159,0.434743,0,1.5708,0.0756566,0,-1.55277e-10,0.0794657,
2.70008e+07,0,0.00186609,0.165627,0,-0.645287,3.19848,1.5708,2.05588,-3.20733,0,0.159897,-0.415865,0,3.14159,0.434737,0,1.5708,0.0756535,0,-1.55277e-10,0.0794639,
2.70008e+07,0,0.00186609,0.166204,0,-0.645287,3.19868,1.5708,2.05588,-3.20678,0,0.159897,-0.415615,0,3.14159,0.434733,0,1.5708,0.0756511,0,-1.54635e-10,0.0794626,
2.80003e+07,0,0.00186609,0.167164,0,-0.645287,3.19902,1.5708,2.05588,-3.20563,0,0.159897,-0.415199,0,3.14159,0.434725,0,1.5708,0.0756472,0,-1.54635e-10,0.0794605,
2.80003e+07,0,0.00186609,0.167933,0,-0.645287,3.19929,1.5708,2.05588,-3.20487,0,0.159897,-0.414867,0,3.14159,0.434719,0,1.5708,0.0756441,0,-1.54635e-10,0.0794587,
2.80003e+07,0,0.00186609,0.168701,0,-0.645287,3.19957,1.5708,2.05588,-3.20413,0,0.159897,-0.414534,0,3.14159,0.434712,0,1.5708,0.0756409,0,-1.54635e-10,0.079457,
2.80003e+07,0,0.00186609,0.16947,0,-0.645287,3.19984,1.5708,2.05588,-3.2034,0,0.159897,-0.414202,0,3.14159,0.434706,0,1.5708,0.0756378,0,-1.54635e-10,0.0794553,
2.80003e+07,0,0.00186609,0.170238,0,-0.645287,3.20011,1.5708,2.05588,-3.20267,0,0.159897,-0.413869,0,3.14159,0.4347,0,1.5708,0.0756347,0,-1.54635e-10,0.0794536,
2.89997e+07,0,0.00186609,0.171007,0,-0.645287,3.20039,1.5708,2.05588,-3.20176,0,0.159897,-0.413536,0,3.14159,0.434694,0,1.5708,0.0756316,0,-1.53566e-10,0.0794518,
2.89997e+07,0,0.00186609,0.171776,0,-0.645287,3.20066,1.5708,2.05588,-3.20094,0,0.159897,-0.413204,0,3.14159,0.434688,0,1.5708,0.0756284,0,-1.53566e-10,0.0794501,
