time,B2C_reference,B2C_state,B2C_torque,C2F_reference,C2F_state,C2F_torque,F2T_reference,F2T_state,F2T_torque,T2E_reference,T2E_state,T2E_torque,wristH_reference,wristH_state,wristH_torque,wristV_reference,wristV_state,wristV_torque,driving_velocity_reference,driving_velocity_state,driving_torque,
0,0,0.233258,-0.0923675,0,-0.660978,-1.09769,1.5708,2.25366,-0.0219009,0,-0.0218719,-0.133156,0,3.14159,1.76772,0,1.5708,0.0322688,0,-3.35097e-10,-0.212779,
0,0,0.233258,-0.0922854,0,-0.660978,-1.09786,1.5708,2.25366,-0.0221129,0,-0.0218719,-0.132976,0,3.14159,1.76771,0,1.5708,0.0322658,0,-3.35097e-10,-0.212781,
999424,0,0.233258,-0.0922033,0,-0.660978,-1.09803,1.5708,2.25366,-0.0223248,0,-0.0218719,-0.132795,0,3.14159,1.76771,0,1.5708,0.0322628,0,-3.35128e-10,-0.212783,
1.99885e+06,0,0.233258,-0.0921211,0,-0.660978,-1.09819,1.5708,2.25366,-0.0225368,0,-0.0218719,-0.132614,0,3.14159,1.7677,0,1.5708,0.0322598,0,-3.35149e-10,-0.212785,
2.99827e+06,0,0.233258,-0.092039,0,-0.660978,-1.09836,1.5708,2.25366,-0.0227487,0,-0.0218719,-0.132434,0,3.14159,1.76769,0,1.5708,0.0322568,0,-3.35159e-10,-0.212787,
3.9977e+06,0,0.233258,-0.0919569,0,-0.660978,-1.09853,1.5708,2.25366,-0.0229607,0,-0.0218719,-0.132253,0,3.14159,1.76769,0,1.5708,0.0322538,0,-3.35164e-10,-0.212789,
4.99712e+06,0,0.233258,-0.0918747,0,-0.660978,-1.0987,1.5708,2.25366,-0.0231726,0,-0.0218719,-0.132072,0,3.14159,1.76768,0,1.5708,0.0322508,0,-3.35169e-10,-0.212791,
5.99654e+06,0,0.233258,-0.0917926,0,-0.660978,-1.09887,1.5708,2.25366,-0.0233846,0,-0.0218719,-0.131892,0,3.14159,1.76768,0,1.5708,0.0322478,0,-3.35173e-10,-0.212792,
7.00006e+06,0,0.233258,-0.0917105,0,-0.660978,-1.09904,1.5708,2.25366,-0.0235966,0,-0.0218719,-0.131711,0,3.14159,1.76767,0,1.5708,0.0322448,0,-3.35176e-10,-0.212794,
7.99949e+06,0,0.233258,-0.0916283,0,-0.660978,-1.0992,1.5708,2.25366,-0.0238085,0,-0.0218719,-0.13153,0,3.14159,1.76766,0,1.5708,0.0322418,0,-3.35183e-10,-0.212796,
8.99891e+06,0,0.233258,-0.0915462,0,-0.660978,-1.09937,1.5708,2.25366,-0.0240205,0,-0.0218719,-0.13135,0,3.14159,1.76766,0,1.5708,0.0322388,0,-3.35189e-10,-0.212798,
9.99834e+06,0,0.233258,-0.0914641,0,-0.660978,-1.09954,1.5708,2.25366,-0.0242324,0,-0.0218719,-0.131169,0,3.14159,1.76765,0,1.5708,0.0322358,0,-3.35199e-10,-0.2128,
1.09978e+07,0,0.233258,-0.0913819,0,-0.660978,-1.09971,1.5708,2.25366,-0.0244444,0,-0.0218719,-0.130989,0,3.14159,1.76765,0,1.5708,0.0322328,0,-3.35205e-10,-0.212802,
1.19972e+07,0,0.233258,-0.0912998,0,-0.660978,-1.09988,1.5708,2.25366,-0.0246563,0,-0.0218719,-0.130808,0,3.14159,1.76764,0,1.5708,0.0322298,0,-3.35212e-10,-0.212804,
1.29966e+07,0,0.233258,-0.0912177,0,-0.660978,-1.10004,1.5708,2.25366,-0.0248683,0,-0.0218719,-0.130627,0,3.14159,1.76763,0,1.5708,0.0322268,0,-3.35216e-10,-0.212806,
1.40001e+07,0,0.233258,-0.0911355,0,-0.660978,-1.10021,1.5708,2.25366,-0.0250803,0,-0.0218719,-0.130447,0,3.14159,1.76763,0,1.5708,0.0322238,0,-3.35225e-10,-0.212808,
1.49996e+07,0,0.233258,-0.0910534,0,-0.660978,-1.10038,1.5708,2.25366,-0.0252922,0,-0.0218719,-0.130266,0,3.14159,1.76762,0,1.5708,0.0322208,0,-3.3523e-10,-0.21281,
1.5999e+07,0,0.233258,-0.0909712,0,-0.660978,-1.10055,1.5708,2.25366,-0.0255042,0,-0.0218719,-0.130085,0,3.14159,1.76761,0,1.5708,0.0322178,0,-3.35233e-10,-0.212812,
1.69984e+07,0,0.233258,-0.0908891,0,-0.660978,-1.10072,1.5708,2.25366,-0.0257161,0,-0.0218719,-0.129905,0,3.14159,1.76761,0,1.5708,0.0322148,0,-3.35237e-10,-0.212813,
1.79978e+07,0,0.233258,-0.090807,0,-0.660978,-1.10089,1.5708,2.25366,-0.0259281,0,-0.0218719,-0.129724,0,3.14159,1.7676,0,1.5708,0.0322118,0,-3.35245e-10,-0.212815,
1.89972e+07,0,0.233258,-0.0907248,0,-0.660978,-1.10105,1.5708,2.25366,-0.02614,0,-0.0218719,-0.129543,0,3.14159,1.7676,0,1.5708,0.0322088,0,-3.35251e-10,-0.212817,
1.99967e+07,0,0.233258,-0.0906427,0,-0.660978,-1.10122,1.5708,2.25366,-0.026352,0,-0.0218719,-0.129363,0,3.14159,1.76759,0,1.5708,0.0322058,0,-3.35262e-10,-0.212819,
2.19996e+07,0,0.233258,-0.0905606,0,-0.660978,-1.10139,1.5708,2.25366,-0.0265639,0,-0.0218719,-0.129182,0,3.14159,1.76758,0,1.5708,0.0322028,0,-3.35267e-10,-0.212821,
2.2999e+07,0,0.233258,-0.0904784,0,-0.660978,-1.10156,1.5708,2.25366,-0.0267759,0,-0.0218719,-0.129001,0,3.14159,1.76758,0,1.5708,0.0321998,0,-3.35276e-10,-0.212823,
2.39985e+07,0,0.233258,-0.0903963,0,-0.660978,-1.10173,1.5708,2.25366,-0.0269879,0,-0.0218719,-0.128821,0,3.14159,1.76757,0,1.5708,0.0321968,0,-3.35281e-10,-0.212825,
2.49979e+07,0,0.233258,-0.0903142,0,-0.660978,-1.1019,1.5708,2.25366,-0.0271998,0,-0.0218719,-0.12864,0,3.14159,1.76756,0,1.5708,0.0321938,0,-3.35289e-10,-0.212827,
